,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,77.75,85.20,253 kWh,"1,589.97",09-06-2017,10-07-2017,13.24,-429.13,T-J,"1,337.03"
1,77.42,84.85,251 kWh,"1,545.54",10-05-2017,09-06-2017,12.90,-418.17,T-J,"1,302.54"
2,75.45,87.02,281 kWh,"1,735.50",08-04-2017,10-05-2017,14.82,-416.45,T-J,"1,496.34"
3,75.13,86.66,231 kWh,"1,385.58",10-03-2017,08-04-2017,11.33,-414.78,T-J,"1,143.92"
4,74.83,86.32,212 kWh,"1,224.90",08-02-2017,10-03-2017,9.73,-413.09,T-J,982.69
5,74.52,85.96,174 kWh,961.08,11-01-2017,08-02-2017,7.10,-411.78,T-J,716.88
6,74.24,85.64,193 kWh,"1,086.26",11-12-2016,11-01-2017,8.36,-410.10,T-J,844.40
7,73.93,85.29,196 kWh,"1,101.97",09-11-2016,11-12-2016,8.53,-408.34,T-J,861.38
8,73.63,84.93,195 kWh,"1,090.55",10-10-2016,09-11-2016,8.43,-406.59,T-J,850.95
9,73.34,84.60,201 kWh,"1,126.31",08-09-2016,10-10-2016,8.79,-404.91,T-J,888.13
10,73.04,84.25,196 kWh,"1,088.22",09-08-2016,08-09-2016,8.42,-403.20,T-J,850.73
11,72.75,83.91,213 kWh,"1,160.22",09-07-2016,09-08-2016,9.11,-405.74,T-J,920.25
