,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,,86.96,205 kWh,"1,276.14",11-11-2017,14-12-2017,14.42,,,,T-0,"1,456.88"
1,79.03,,86.60,174 kWh,"1,047.07",12-10-2017,11-11-2017,12.13,,,,T-0,"1,224.83"
2,78.71,,86.25,188 kWh,"1,143.47",11-09-2017,12-10-2017,13.08,,,,T-0,"1,321.51"
3,78.39,,85.90,182 kWh,"1,095.79",12-08-2017,11-09-2017,12.60,,,,T-0,"1,272.68"
4,78.07,,85.55,198 kWh,"1,205.37",12-07-2017,12-08-2017,13.69,,,,T-0,"1,382.68"
5,77.75,,85.20,181 kWh,"1,079.87",12-06-2017,12-07-2017,12.43,,,,T-0,"1,255.25"
6,77.42,,84.85,200 kWh,"1,194.51",12-05-2017,12-06-2017,13.57,,,,T-0,"1,370.35"
7,75.45,,87.02,191 kWh,"1,116.66",11-04-2017,12-05-2017,12.79,,,,T-0,"1,291.92"
8,75.13,,86.66,174 kWh,995.55,13-03-2017,11-04-2017,11.57,,,,T-0,"1,168.91"
9,74.83,,86.32,173 kWh,984.90,10-02-2017,13-03-2017,11.46,,,,T-0,"1,157.51"
10,74.52,,29.50,145 kWh,788.29,13-01-2017,10-02-2017,8.92,,,,T-0,901.23
11,74.52,,29.50,140 kWh,752.20,13-01-2017,20-02-2017,4.36,-14.32,-9.26,-396.54,T-0,440.46
13,74.24,1.69,85.64,161 kWh,895.90,14-12-2016,13-01-2017,10.56,,,,T-0,"1,068.03"
