,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.71,29.60,122 kWh,657.31,12-09-2017,13-10-2017,3.93,-16.50,-8.68,-347.19,T-0,397.18
1,78.39,29.48,124 kWh,669.81,14-08-2017,12-09-2017,3.99,-16.43,-8.65,-353.77,T-0,402.82
2,78.07,29.36,149 kWh,856.15,13-07-2017,14-08-2017,4.86,-16.37,-8.61,-452.21,T-0,491.25
3,77.75,29.24,129 kWh,702.02,13-06-2017,13-07-2017,4.13,-16.30,-8.58,-370.78,T-0,417.48
4,77.42,29.12,149 kWh,839.73,13-05-2017,13-06-2017,4.78,-16.23,-8.54,-443.09,T-0,483.19
5,75.45,29.87,126 kWh,659.26,12-04-2017,13-05-2017,3.93,-14.50,-9.37,-347.55,T-0,397.09
6,75.13,29.75,117 kWh,591.09,14-03-2017,12-04-2017,3.61,-14.44,-9.33,-311.61,T-0,364.20
7,74.83,29.63,102 kWh,480.11,11-02-2017,14-03-2017,3.08,-14.38,-9.30,-253.10,T-0,310.87
8,19.88,29.50,88 kWh,398.18,14-01-2017,11-02-2017,2.25,-3.82,-9.26,-209.90,T-0,226.83
9,19.80,29.39,96 kWh,440.26,15-12-2016,14-01-2017,2.44,-3.81,-9.22,-232.09,T-0,246.77
10,73.93,29.27,108 kWh,517.33,12-11-2016,15-12-2016,3.24,-14.21,-9.19,-272.73,T-0,327.64
11,19.64,29.15,81 kWh,355.65,13-10-2016,12-11-2016,2.04,-3.77,-9.15,-187.49,T-0,206.07
