,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,29.97,128 kWh,712.34,19-12-2017,19-01-2018,2.52,-16.71,-8.79,-356.17,-188.12,T-J,254.72
1,79.36,,29.85,132 kWh,740.09,17-11-2017,19-12-2017,2.58,-16.64,-8.76,-370.04,-195.44,T-J,261.00
2,79.03,,29.72,136 kWh,767.59,18-10-2017,17-11-2017,2.65,-16.57,-8.72,-383.80,-202.72,T-J,267.18
3,78.71,,29.60,130 kWh,718.86,18-09-2017,18-10-2017,2.53,-16.50,-8.68,-359.43,-189.85,T-J,255.24
4,78.39,,29.48,138 kWh,776.60,18-08-2017,18-09-2017,2.66,-16.43,-8.65,-388.30,-205.09,T-J,268.66
5,78.07,,29.36,141 kWh,796.13,18-07-2017,18-08-2017,2.70,-16.37,-8.61,-398.07,-210.25,T-J,272.96
6,77.75,,29.24,137 kWh,762.71,17-06-2017,18-07-2017,2.62,-16.30,-8.58,-381.35,-201.42,T-J,264.67
7,77.42,,29.12,128 kWh,686.52,18-05-2017,17-06-2017,2.44,-16.23,-8.54,-343.27,-181.17,T-J,246.29
8,75.45,,29.87,134 kWh,718.26,18-04-2017,18-05-2017,2.51,-14.50,-9.37,-359.13,-189.33,T-J,253.76
9,75.13,0.37,29.75,149 kWh,824.44,18-03-2017,18-04-2017,2.76,-14.44,-9.33,-412.22,-217.31,T-J,279.15
10,74.83,0.10,29.63,146 kWh,790.52,15-02-2017,18-03-2017,2.61,-14.38,-9.30,-399.67,-210.71,T-J,263.63
11,74.52,0.43,29.50,121 kWh,596.04,18-01-2017,15-02-2017,2.06,-14.32,-9.26,-307.76,-162.25,T-J,208.96
