,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.36,13.75,86.96,210 kWh,"1,312.72",14-11-2017,15-12-2017,14.79,T-0,"1,507.58"
1,79.03,11.21,86.60,218 kWh,"1,364.83",14-10-2017,14-11-2017,15.30,T-0,"1,556.97"
2,78.71,11.86,86.25,220 kWh,"1,373.65",13-09-2017,14-10-2017,15.39,T-0,"1,565.86"
3,78.39,,85.90,214 kWh,"1,325.13",15-08-2017,13-09-2017,14.89,T-0,"1,504.31"
4,78.07,22.46,85.55,227 kWh,"1,412.49",14-07-2017,15-08-2017,15.76,T-0,"1,614.33"
5,77.75,11.19,85.20,205 kWh,"1,250.53",14-06-2017,14-07-2017,14.13,T-0,"1,438.80"
6,77.42,11.23,84.85,236 kWh,"1,448.53",15-05-2017,14-06-2017,16.11,T-0,"1,638.14"
7,75.45,15.35,87.02,221 kWh,"1,323.86",15-04-2017,15-05-2017,14.86,T-0,"1,516.54"
8,75.13,8.80,86.66,210 kWh,"1,242.96",15-03-2017,15-04-2017,14.05,T-0,"1,427.60"
9,74.83,203.20,86.32,216 kWh,"1,278.89",12-02-2017,15-03-2017,14.40,T-0,"1,657.64"
10,74.52,15.37,85.96,177 kWh,"1,008.26",15-01-2017,12-02-2017,11.69,T-0,"1,195.80"
11,74.24,13.42,85.64,212 kWh,"1,241.72",15-12-2016,15-01-2017,14.02,T-0,"1,429.04"
