,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,29.97,150 kWh,880.93,09-12-2017,09-01-2018,5.00,-16.71,-8.79,-465.28,T-0,504.80
1,79.36,,86.96,198 kWh,"1,224.53",07-11-2017,09-12-2017,13.91,,,,T-0,"1,404.76"
2,79.03,,86.60,170 kWh,"1,017.52",07-10-2017,07-11-2017,11.83,,,,T-0,"1,194.98"
3,78.71,,86.25,199 kWh,"1,221.46",06-09-2017,07-10-2017,13.86,,,,T-0,"1,400.28"
4,78.39,,85.90,177 kWh,"1,059.12",07-08-2017,06-09-2017,12.23,,,,T-0,"1,235.64"
5,78.07,,85.55,185 kWh,"1,111.87",07-07-2017,07-08-2017,12.75,,,,T-0,"1,288.24"
6,77.75,190.80,85.20,180 kWh,"1,071.84",07-06-2017,07-07-2017,12.35,,,,T-0,"1,437.94"
7,77.42,,84.85,181 kWh,"1,056.86",08-05-2017,07-06-2017,12.19,,,,T-0,"1,231.32"
8,75.45,,87.02,208 kWh,"1,232.80",06-04-2017,08-05-2017,13.95,,,,T-0,"1,409.22"
9,75.13,,86.66,155 kWh,864.56,08-03-2017,06-04-2017,10.26,,,,T-0,"1,036.61"
10,74.83,,29.63,150 kWh,827.18,06-02-2017,08-03-2017,4.72,-14.38,-9.30,-436.05,T-0,476.63
11,74.52,,29.50,147 kWh,802.14,09-01-2017,06-02-2017,9.06,,,,T-0,915.22
