,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.36,3.49,86.96,338 kWh,"2,239.16",11-11-2017,14-12-2017,156.74,24.05,T-0,"2,589.76"
1,79.03,5.30,86.60,328 kWh,"2,157.35",12-10-2017,11-11-2017,151.01,23.23,T-0,"2,502.52"
2,78.71,3.22,86.25,301 kWh,"1,954.88",11-09-2017,12-10-2017,136.84,21.20,T-0,"2,281.10"
3,78.39,2.21,85.90,306 kWh,"1,982.51",12-08-2017,11-09-2017,138.78,21.47,T-0,"2,309.26"
4,78.07,7.57,85.55,316 kWh,"2,045.84",12-07-2017,12-08-2017,143.21,22.09,T-0,"2,382.33"
5,77.75,8.95,85.20,361 kWh,"2,356.65",12-06-2017,12-07-2017,164.97,25.20,T-0,"2,718.72"
6,77.42,6.65,84.85,326 kWh,"2,072.03",12-05-2017,12-06-2017,145.04,22.34,T-0,"2,408.33"
7,75.45,7.63,87.02,327 kWh,"2,052.73",11-04-2017,12-05-2017,143.69,22.15,T-0,"2,388.67"
8,75.13,4.52,86.66,323 kWh,"2,016.89",13-03-2017,11-04-2017,141.18,21.79,T-0,"2,346.17"
9,74.83,85.13,86.32,336 kWh,"2,097.82",10-02-2017,13-03-2017,146.85,22.59,T-0,"2,513.54"
10,74.52,81.52,85.96,263 kWh,"1,592.68",13-01-2017,10-02-2017,,17.53,T-0,"1,852.21"
11,74.24,75.86,85.64,329 kWh,"2,034.05",14-12-2016,13-01-2017,142.38,21.94,T-0,"2,434.11"
