,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,125 kWh,688.45,12-12-2017,11-01-2018,4.09,-16.71,-8.79,-363.62,T-0,413.07
1,79.36,29.85,141 kWh,808.51,09-11-2017,12-12-2017,4.65,-16.64,-8.76,-427.03,T-0,469.94
2,79.03,29.72,120 kWh,644.36,10-10-2017,09-11-2017,3.87,-16.57,-8.72,-340.34,T-0,391.35
3,78.71,29.60,128 kWh,702.73,08-09-2017,10-10-2017,4.15,-16.50,-8.68,-371.17,T-0,418.84
4,78.39,29.48,135 kWh,752.79,09-08-2017,08-09-2017,4.38,-16.43,-8.65,-397.61,T-0,442.35
5,78.07,29.36,143 kWh,810.27,10-07-2017,09-08-2017,4.65,-16.37,-8.61,-427.98,T-0,469.39
6,77.75,29.24,146 kWh,829.56,09-06-2017,10-07-2017,4.74,-16.30,-8.58,-438.14,T-0,478.27
7,77.42,29.12,144 kWh,799.73,10-05-2017,09-06-2017,4.60,-16.23,-8.54,-421.87,T-0,464.23
8,75.45,87.02,154 kWh,861.66,08-04-2017,10-05-2017,5.45,-14.50,-9.37,-455.12,T-0,550.59
9,75.13,29.75,140 kWh,757.95,10-03-2017,08-04-2017,4.39,-14.44,-9.33,-399.57,T-0,443.88
10,74.83,29.63,150 kWh,827.48,08-02-2017,10-03-2017,4.72,-14.38,-9.30,-436.21,T-0,476.77
11,74.52,29.50,136 kWh,723.12,11-01-2017,08-02-2017,4.22,-14.32,-9.26,-381.20,T-0,426.58
