,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,,86.25,449 kWh,"3,017.67",11-09-2017,12-10-2017,180.82,27.48,-434.46,T-J,"2,956.47"
1,78.39,,85.90,367 kWh,"2,418.74",12-08-2017,11-09-2017,139.02,21.50,-432.73,T-J,"2,310.82"
2,78.07,,85.55,399 kWh,"2,637.05",12-07-2017,12-08-2017,154.43,23.70,-430.95,T-J,"2,547.85"
3,77.75,,85.20,409 kWh,"2,697.15",12-06-2017,12-07-2017,158.76,24.31,-429.13,T-J,"2,614.04"
4,77.42,,84.85,360 kWh,"2,308.87",12-05-2017,12-06-2017,132.35,20.53,-418.17,T-J,"2,205.85"
5,75.45,,87.02,360 kWh,"2,279.88",11-04-2017,12-05-2017,130.44,20.26,-416.45,T-J,"2,176.60"
6,75.13,,86.66,352 kWh,"2,215.70",13-03-2017,11-04-2017,126.06,19.63,-414.78,T-J,"2,108.40"
7,74.83,,86.32,362 kWh,"2,249.18",10-02-2017,13-03-2017,128.53,19.97,-413.06,T-J,"2,145.77"
8,74.52,,85.96,316 kWh,"1,927.00",13-01-2017,10-02-2017,106.08,16.76,-411.52,T-J,"1,798.80"
9,74.24,,85.64,340 kWh,"2,082.61",14-12-2016,13-01-2017,117.10,18.33,-409.82,T-J,"1,968.10"
10,73.93,,85.29,435 kWh,"2,714.91",11-11-2016,14-12-2016,161.48,24.66,-408.12,T-J,"2,652.15"
11,73.63,7.48,84.93,441 kWh,"2,743.39",11-10-2016,11-11-2016,163.58,24.95,-406.49,T-J,"2,691.47"
