,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,84.85,184 kWh,"1,085.98",15-05-2017,14-06-2017,12.48,,,,T-0,"1,260.73"
1,75.45,87.02,231 kWh,"1,392.73",15-04-2017,15-05-2017,15.55,,,,T-0,"1,570.75"
2,75.13,86.66,189 kWh,"1,098.94",15-03-2017,15-04-2017,12.61,,,,T-0,"1,273.34"
3,74.83,86.32,181 kWh,"1,039.84",12-02-2017,15-03-2017,12.01,,,,T-0,"1,213.00"
4,74.52,85.96,160 kWh,892.63,15-01-2017,12-02-2017,10.53,,,,T-0,"1,063.64"
5,74.24,85.64,157 kWh,868.97,15-12-2016,15-01-2017,10.29,,,,T-0,"1,039.14"
6,73.93,29.27,148 kWh,803.70,12-11-2016,15-12-2016,4.60,-14.21,-9.19,-423.69,T-0,464.41
7,73.63,84.93,155 kWh,848.14,13-10-2016,12-11-2016,10.07,,,,T-0,"1,016.77"
8,73.34,84.60,192 kWh,"1,092.36",12-09-2016,13-10-2016,12.50,,,,T-0,"1,262.80"
9,73.04,84.25,184 kWh,"1,034.51",13-08-2016,12-09-2016,11.92,,,,T-0,"1,203.72"
10,72.75,83.91,207 kWh,"1,189.78",13-07-2016,13-08-2016,13.46,,,,T-0,"1,359.90"
11,73.20,83.56,193 kWh,"1,097.08",13-06-2016,13-07-2016,12.54,,,,T-0,"1,266.38"
