,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.07,,85.55,269 kWh,"1,711.73",14-07-2017,15-08-2017,14.44,-430.95,T-J,"1,458.84"
1,77.75,,85.20,250 kWh,"1,569.78",14-06-2017,14-07-2017,13.03,-429.26,T-J,"1,316.50"
2,77.42,,84.85,251 kWh,"1,553.22",15-05-2017,14-06-2017,12.97,-418.94,T-J,"1,309.52"
3,75.45,,87.02,263 kWh,"1,613.05",15-04-2017,15-05-2017,13.59,-416.59,T-J,"1,372.52"
4,75.13,,86.66,278 kWh,"1,709.26",15-03-2017,15-04-2017,14.56,-414.78,T-J,"1,470.83"
5,74.83,,86.32,264 kWh,"1,581.66",12-02-2017,15-03-2017,13.30,-413.13,T-J,"1,342.98"
6,74.52,,85.96,232 kWh,"1,356.22",15-01-2017,12-02-2017,11.05,-411.64,T-J,"1,116.11"
7,74.24,,85.64,251 kWh,"1,479.99",15-12-2016,15-01-2017,12.30,-409.99,T-J,"1,242.18"
8,73.93,1.73,85.29,285 kWh,"1,703.13",12-11-2016,15-12-2016,14.54,-408.12,T-J,"1,470.50"
9,73.63,,84.93,252 kWh,"1,474.06",13-10-2016,12-11-2016,12.26,-406.49,T-J,"1,238.39"
10,73.34,1.13,84.60,266 kWh,"1,561.88",12-09-2016,13-10-2016,13.15,-404.82,T-J,"1,329.28"
11,73.04,,84.25,249 kWh,"1,442.12",13-08-2016,12-09-2016,11.96,-403.20,T-J,"1,208.17"
