,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,86.60,165 kWh,982.60,14-10-2017,14-11-2017,11.48,,,,T-0,"1,159.71"
1,78.71,86.25,154 kWh,899.57,13-09-2017,14-10-2017,5.63,-16.50,-8.68,-476.06,T-0,568.92
2,78.39,29.48,145 kWh,829.29,15-08-2017,13-09-2017,4.74,-16.43,-8.65,-438.01,T-0,478.81
3,78.07,85.55,178 kWh,"1,063.41",14-07-2017,15-08-2017,12.27,,,,T-0,"1,239.30"
4,77.75,85.20,167 kWh,980.88,14-06-2017,14-07-2017,11.44,,,,T-0,"1,155.27"
5,77.42,84.85,171 kWh,995.11,15-05-2017,14-06-2017,11.57,,,,T-0,"1,168.95"
6,75.45,87.02,199 kWh,"1,172.38",15-04-2017,15-05-2017,13.35,,,,T-0,"1,348.20"
7,75.13,86.66,221 kWh,"1,318.38",15-03-2017,15-04-2017,14.80,,,,T-0,"1,494.97"
8,74.83,86.32,193 kWh,"1,121.81",12-02-2017,15-03-2017,12.83,,,,T-0,"1,295.79"
9,74.52,29.50,130 kWh,680.24,15-01-2017,12-02-2017,4.02,-14.32,-9.26,-358.60,T-0,406.10
10,74.24,29.39,134 kWh,706.53,16-12-2016,15-01-2017,4.14,-14.26,-9.22,-372.46,T-0,418.36
11,73.93,29.27,128 kWh,660.69,15-11-2016,16-12-2016,3.92,-14.21,-9.19,-348.31,T-0,396.10
