,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.91,19.55,141.44,367 kWh,"2,751.18",12-10-2017,11-11-2017,454.43,30.00,T-1,"3,503.51"
1,106.48,15.08,140.87,375 kWh,"2,799.92",11-09-2017,12-10-2017,461.66,30.47,T-1,"3,554.48"
2,106.04,228.06,140.29,382 kWh,"2,840.38",12-08-2017,11-09-2017,497.81,30.87,T-1,"3,843.45"
3,105.62,25.76,139.73,385 kWh,"2,851.25",12-07-2017,12-08-2017,469.14,30.97,T-1,"3,622.47"
4,105.18,26.89,139.15,417 kWh,"3,075.52",12-06-2017,12-07-2017,502.96,33.20,T-1,"3,882.90"
5,104.74,23.70,138.58,436 kWh,"3,157.82",12-05-2017,12-06-2017,515.27,34.01,T-1,"3,974.12"
6,102.06,24.09,142.14,462 kWh,"3,306.37",11-04-2017,12-05-2017,537.91,35.51,T-1,"4,148.08"
7,101.64,23.38,141.55,405 kWh,"2,886.59",13-03-2017,11-04-2017,474.16,31.30,T-1,"3,658.62"
8,101.24,24.76,140.98,414 kWh,"2,939.18",10-02-2017,13-03-2017,481.98,31.81,T-1,"3,719.95"
9,100.82,25.67,140.40,348 kWh,"2,460.40",13-01-2017,10-02-2017,409.30,27.02,T-1,"3,163.61"
10,100.44,23.44,139.87,399 kWh,"2,810.60",14-12-2016,13-01-2017,462.21,30.51,T-1,"3,567.07"
11,100.03,27.95,139.29,449 kWh,"3,149.66",11-11-2016,14-12-2016,513.43,33.89,T-1,"3,964.25"
