,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.36,206.81,86.96,218 kWh,"1,369.27",07-11-2017,09-12-2017,10.98,-438.03,T-J,"1,315.35"
1,79.03,12.08,86.60,233 kWh,"1,471.46",07-10-2017,07-11-2017,12.01,-436.27,T-J,"1,224.91"
2,78.71,10.70,86.25,245 kWh,"1,551.54",06-09-2017,07-10-2017,12.82,-434.46,T-J,"1,305.56"
3,78.39,10.90,85.90,266 kWh,"1,695.17",07-08-2017,06-09-2017,14.27,-432.73,T-J,"1,451.90"
4,78.07,10.84,85.55,266 kWh,"1,688.42",07-07-2017,07-08-2017,14.21,-430.95,T-J,"1,446.14"
5,77.75,12.13,85.20,248 kWh,"1,553.87",07-06-2017,07-07-2017,12.88,-429.13,T-J,"1,312.70"
6,77.42,10.85,84.85,250 kWh,"1,535.56",08-05-2017,07-06-2017,12.80,-418.17,T-J,"1,303.31"
7,75.45,9.17,87.02,274 kWh,"1,686.85",06-04-2017,08-05-2017,14.33,-416.45,T-J,"1,456.37"
8,75.13,6.71,86.66,243 kWh,"1,467.35",08-03-2017,06-04-2017,12.14,-414.78,T-J,"1,233.21"
9,74.83,201.51,86.32,232 kWh,"1,360.50",06-02-2017,08-03-2017,11.09,-413.06,T-J,"1,321.19"
10,74.52,9.73,85.96,193 kWh,"1,089.88",09-01-2017,06-02-2017,8.39,-411.52,T-J,856.96
11,74.24,10.32,85.64,221 kWh,"1,275.50",09-12-2016,09-01-2017,10.26,-409.82,T-J,"1,046.14"
