,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.68,87.32,318 kWh,"2,103.27",14-12-2017,14-01-2018,147.23,22.70,T-0,"2,440.20"
1,79.36,86.96,368 kWh,"2,456.40",11-11-2017,14-12-2017,171.95,26.23,T-0,"2,820.90"
2,79.03,86.60,346 kWh,"2,287.13",12-10-2017,11-11-2017,160.10,24.53,T-0,"2,637.39"
3,78.71,86.25,349 kWh,"2,299.58",11-09-2017,12-10-2017,160.97,24.65,T-0,"2,650.16"
4,78.39,85.90,342 kWh,"2,239.97",12-08-2017,11-09-2017,156.80,24.04,T-0,"2,585.10"
5,78.07,85.55,349 kWh,"2,280.91",12-07-2017,12-08-2017,159.66,24.45,T-0,"2,628.64"
6,77.75,85.20,318 kWh,"2,051.65",12-06-2017,12-07-2017,143.62,22.15,T-0,"2,380.37"
7,77.42,84.85,345 kWh,"2,204.25",12-05-2017,12-06-2017,154.30,23.67,T-0,"2,544.49"
8,75.45,87.02,370 kWh,"2,348.70",11-04-2017,12-05-2017,164.41,25.11,T-0,"2,700.69"
9,75.13,86.66,315 kWh,"1,962.07",13-03-2017,11-04-2017,137.34,21.24,T-0,"2,282.44"
10,74.83,86.32,235 kWh,"1,408.17",10-02-2017,13-03-2017,,15.69,T-0,"1,585.01"
11,74.52,85.96,214 kWh,"1,259.49",13-01-2017,10-02-2017,,14.20,T-0,"1,434.17"
