,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,29.12,115 kWh,584.82,09-05-2017,08-06-2017,3.58,-16.23,-8.54,-308.48,T-0,361.69
1,75.45,29.87,146 kWh,804.80,07-04-2017,09-05-2017,4.62,-14.50,-9.37,-424.28,T-0,466.59
2,75.13,29.75,129 kWh,677.90,09-03-2017,07-04-2017,4.02,-14.44,-9.33,-357.37,T-0,405.66
3,74.83,29.63,107 kWh,515.97,07-02-2017,09-03-2017,3.25,-14.38,-9.30,-272.01,T-0,327.99
4,19.88,29.50,98 kWh,452.47,10-01-2017,07-02-2017,2.50,-3.82,-9.26,-238.53,T-0,252.74
5,74.24,29.39,118 kWh,591.01,10-12-2016,10-01-2017,3.60,-14.26,-9.22,-311.56,T-0,363.20
6,73.93,29.27,126 kWh,645.77,08-11-2016,10-12-2016,3.85,-14.21,-9.19,-340.44,T-0,388.98
7,73.63,29.15,144 kWh,771.25,08-10-2016,08-11-2016,4.44,-14.15,-9.15,-406.57,T-0,448.60
8,73.34,29.03,137 kWh,718.45,07-09-2016,08-10-2016,4.19,-14.09,-9.11,-378.74,T-0,423.07
9,73.04,28.91,141 kWh,743.69,08-08-2016,07-09-2016,4.30,-14.03,-9.07,-392.05,T-0,434.79
10,72.75,28.80,122 kWh,611.48,08-07-2016,08-08-2016,3.68,-13.98,-9.04,-322.42,T-0,371.27
11,73.20,28.68,141 kWh,745.46,08-06-2016,08-07-2016,4.31,-14.68,-9.00,-393.11,T-0,434.86
