,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,117 kWh,627.06,15-12-2017,15-01-2018,3.80,-16.71,-8.79,-331.20,T-0,383.81
1,79.36,29.85,124 kWh,678.26,14-11-2017,15-12-2017,4.04,-16.64,-8.76,-358.25,T-0,407.86
2,79.03,29.72,126 kWh,690.71,14-10-2017,14-11-2017,4.09,-16.57,-8.72,-364.82,T-0,413.44
3,78.71,29.60,115 kWh,604.07,13-09-2017,14-10-2017,3.68,-16.50,-8.68,-319.06,T-0,371.82
4,78.39,85.90,181 kWh,"1,089.08",15-08-2017,13-09-2017,12.53,,,,T-0,"1,265.90"
5,78.07,29.36,131 kWh,720.17,14-07-2017,15-08-2017,4.22,-16.37,-8.61,-380.38,T-0,426.46
6,77.75,29.24,134 kWh,739.75,14-06-2017,14-07-2017,4.31,-16.30,-8.58,-390.72,T-0,435.45
7,20.65,29.12,84 kWh,387.03,15-05-2017,14-06-2017,2.20,-4.33,-8.54,-204.24,T-0,221.89
8,75.45,87.02,207 kWh,"1,227.48",15-04-2017,15-05-2017,13.90,,,,T-0,"1,403.85"
9,75.13,86.66,155 kWh,865.71,15-03-2017,15-04-2017,5.46,-14.44,-9.33,-457.47,T-0,551.72
10,74.83,86.32,175 kWh,998.84,12-02-2017,15-03-2017,11.60,,,,T-0,"1,171.59"
11,74.52,29.50,137 kWh,730.76,15-01-2017,12-02-2017,4.26,-14.32,-9.26,-385.22,T-0,430.24
