,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.03,86.60,346 kWh,"2,287.13",12-10-2017,11-11-2017,160.10,24.53,T-0,"2,637.39"
1,78.71,86.25,349 kWh,"2,299.58",11-09-2017,12-10-2017,160.97,24.65,T-0,"2,650.16"
2,78.39,85.90,342 kWh,"2,239.97",12-08-2017,11-09-2017,156.80,24.04,T-0,"2,585.10"
3,78.07,85.55,349 kWh,"2,280.91",12-07-2017,12-08-2017,159.66,24.45,T-0,"2,628.64"
4,77.75,85.20,318 kWh,"2,051.65",12-06-2017,12-07-2017,143.62,22.15,T-0,"2,380.37"
5,77.42,84.85,345 kWh,"2,204.25",12-05-2017,12-06-2017,154.30,23.67,T-0,"2,544.49"
6,75.45,87.02,370 kWh,"2,348.70",11-04-2017,12-05-2017,164.41,25.11,T-0,"2,700.69"
7,75.13,86.66,315 kWh,"1,962.07",13-03-2017,11-04-2017,137.34,21.24,T-0,"2,282.44"
8,74.83,86.32,235 kWh,"1,408.17",10-02-2017,13-03-2017,,15.69,T-0,"1,585.01"
9,74.52,85.96,214 kWh,"1,259.49",13-01-2017,10-02-2017,,14.20,T-0,"1,434.17"
10,74.24,85.64,230 kWh,"1,363.33",14-12-2016,13-01-2017,,15.23,T-0,"1,538.44"
11,73.93,85.29,254 kWh,"1,519.58",11-11-2016,14-12-2016,,16.79,T-0,"1,695.59"
