,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,,85.55,264 kWh,"1,673.46",05-07-2017,04-08-2017,,17.59,T-0,"1,776.60"
1,,85.20,291 kWh,"1,858.10",05-06-2017,05-07-2017,,19.43,T-0,"1,962.73"
2,,84.85,331 kWh,"2,093.33",05-05-2017,05-06-2017,146.53,21.78,T-0,"2,346.49"
3,,87.02,302 kWh,"1,878.70",04-04-2017,05-05-2017,131.51,19.66,T-0,"2,116.89"
4,,86.66,271 kWh,"1,658.64",06-03-2017,04-04-2017,,17.45,T-0,"1,762.75"
5,,86.32,256 kWh,"1,549.92",03-02-2017,06-03-2017,,16.36,T-0,"1,652.60"
6,12.28,85.96,207 kWh,"1,210.56",06-01-2017,03-02-2017,,12.97,T-0,"1,321.77"
7,191.79,85.64,267 kWh,"1,612.18",05-12-2016,06-01-2017,,16.98,T-0,"1,906.59"
8,,85.29,293 kWh,"1,780.54",04-11-2016,05-12-2016,,18.66,T-0,"1,884.49"
9,,84.93,331 kWh,"2,028.20",05-10-2016,04-11-2016,141.97,21.13,T-0,"2,276.23"
10,,84.60,351 kWh,"2,153.80",03-09-2016,05-10-2016,150.77,22.38,T-0,"2,411.55"
11,,84.25,297 kWh,"1,785.16",04-08-2016,03-09-2016,,18.69,T-0,"1,888.10"
