,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,8.46,86.25,222 kWh,"1,386.08",04-09-2017,05-10-2017,11.17,-434.46,T-J,"1,136.21"
1,78.39,7.78,85.90,232 kWh,"1,451.71",04-08-2017,04-09-2017,11.83,-432.73,T-J,"1,202.88"
2,78.07,8.32,85.55,247 kWh,"1,552.52",05-07-2017,04-08-2017,12.85,-430.95,T-J,"1,306.36"
3,77.75,,85.20,246 kWh,"1,539.20",05-06-2017,05-07-2017,12.73,-429.13,T-J,"1,285.75"
4,77.42,7.13,84.85,248 kWh,"1,518.50",05-05-2017,05-06-2017,12.63,-418.17,T-J,"1,282.36"
5,75.45,12.37,87.02,266 kWh,"1,631.12",04-04-2017,05-05-2017,13.77,-416.45,T-J,"1,403.28"
6,75.13,8.08,86.66,239 kWh,"1,439.50",06-03-2017,04-04-2017,11.87,-414.78,T-J,"1,206.46"
7,74.83,6.70,86.32,246 kWh,"1,455.54",03-02-2017,06-03-2017,12.04,-413.06,T-J,"1,222.37"
8,74.52,219.52,85.96,210 kWh,"1,204.86",06-01-2017,03-02-2017,9.54,-411.52,T-J,"1,182.88"
9,74.24,,85.64,245 kWh,"1,437.31",05-12-2016,06-01-2017,11.87,-409.82,T-J,"1,199.24"
10,73.93,,85.29,258 kWh,"1,518.80",04-11-2016,05-12-2016,12.70,-408.12,T-J,"1,282.60"
11,73.63,17.10,84.93,255 kWh,"1,492.38",05-10-2016,04-11-2016,12.44,-406.49,T-J,"1,273.99"
