,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,77.75,210.30,85.20,276 kWh,"1,753.07",09-06-2017,10-07-2017,,19.16,T-0,"2,145.48"
1,77.42,15.79,84.85,269 kWh,"1,670.67",10-05-2017,09-06-2017,,18.33,T-0,"1,867.06"
2,75.45,9.60,87.02,292 kWh,"1,811.20",08-04-2017,10-05-2017,,19.74,T-0,"2,003.01"
3,75.13,13.29,86.66,263 kWh,"1,604.84",10-03-2017,08-04-2017,,17.67,T-0,"1,797.59"
4,74.83,14.82,86.32,277 kWh,"1,694.26",08-02-2017,10-03-2017,,18.55,T-0,"1,888.78"
5,74.52,14.31,85.96,265 kWh,"1,605.78",11-01-2017,08-02-2017,,17.66,T-0,"1,798.23"
6,74.24,18.31,85.64,296 kWh,"1,809.80",11-12-2016,11-01-2017,,19.70,T-0,"2,007.69"
7,73.93,16.27,85.29,308 kWh,"1,883.21",09-11-2016,11-12-2016,131.82,20.42,T-0,"2,210.94"
8,73.63,14.80,84.93,295 kWh,"1,787.92",10-10-2016,09-11-2016,,19.46,T-0,"1,980.74"
9,73.34,16.00,84.60,309 kWh,"1,874.38",08-09-2016,10-10-2016,131.21,20.32,T-0,"2,199.85"
10,73.04,14.72,84.25,283 kWh,"1,693.23",09-08-2016,08-09-2016,,18.51,T-0,"1,883.75"
11,72.75,8.85,83.91,288 kWh,"1,732.51",09-07-2016,09-08-2016,,18.89,T-0,"1,916.91"
