,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.36,86.96,240 kWh,"1,529.97",14-11-2017,15-12-2017,16.96,T-0,"1,713.25"
1,79.03,86.60,233 kWh,"1,473.02",14-10-2017,14-11-2017,16.39,T-0,"1,655.04"
2,78.71,86.25,224 kWh,"1,402.39",13-09-2017,14-10-2017,15.67,T-0,"1,583.02"
3,78.39,85.90,210 kWh,"1,296.51",15-08-2017,13-09-2017,14.61,T-0,"1,475.41"
4,78.07,85.55,204 kWh,"1,248.63",14-07-2017,15-08-2017,14.12,T-0,"1,426.37"
5,77.75,85.20,179 kWh,"1,066.08",14-06-2017,14-07-2017,12.29,T-0,"1,241.32"
6,77.42,84.85,186 kWh,"1,099.96",15-05-2017,14-06-2017,12.62,T-0,"1,274.85"
7,75.45,87.02,181 kWh,"1,048.40",15-04-2017,15-05-2017,12.11,T-0,"1,222.98"
8,75.13,86.66,187 kWh,"1,085.22",15-03-2017,15-04-2017,12.47,T-0,"1,259.48"
9,74.83,86.32,202 kWh,"1,183.26",12-02-2017,15-03-2017,13.44,T-0,"1,357.85"
10,74.52,85.96,196 kWh,"1,137.46",15-01-2017,12-02-2017,12.98,T-0,"1,310.92"
11,74.24,85.64,228 kWh,"1,350.14",15-12-2016,15-01-2017,15.10,T-0,"1,525.12"
