,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,205.86,,161.07,655 kWh,"5,175.93",14-10-2017,14-11-2017,331.78,51.07,-436.27,T-J,"5,489.44"
1,296.17,,345.01,1174 kWh,"11,355.58",13-09-2017,14-10-2017,"1,751.69",115.62,-434.46,T-J,"13,429.61"
2,204.19,27.21,159.77,628 kWh,"4,826.73",15-08-2017,13-09-2017,307.58,47.58,-432.73,T-J,"5,140.33"
3,78.39,27.21,85.90,295 kWh,"1,904.52",15-08-2017,28-09-2017,,16.36,-432.73,T-J,"1,679.65"
5,78.07,,85.55,385 kWh,"2,538.25",14-07-2017,15-08-2017,147.51,22.71,-430.95,T-J,"2,441.14"
6,77.75,,85.20,361 kWh,"2,357.36",14-06-2017,14-07-2017,134.98,20.91,-429.13,T-J,"2,247.07"
7,77.42,,84.85,421 kWh,"2,739.64",15-05-2017,14-06-2017,162.50,24.84,-418.17,T-J,"2,671.08"
8,75.45,2.27,87.02,362 kWh,"2,294.80",15-04-2017,15-05-2017,131.48,20.41,-416.45,T-J,"2,194.98"
9,75.13,6.64,86.66,300 kWh,"1,860.11",15-03-2017,15-04-2017,,16.07,-414.78,T-J,"1,629.83"
10,74.83,,86.32,347 kWh,"2,147.40",12-02-2017,15-03-2017,121.40,18.95,-413.06,T-J,"2,035.84"
11,74.52,,85.96,215 kWh,"1,240.59",15-01-2017,12-02-2017,,9.89,-411.78,T-J,999.18
12,74.24,2.88,85.64,300 kWh,"1,812.03",15-12-2016,15-01-2017,,15.62,-409.82,T-J,"1,580.59"
13,73.93,2.48,85.29,251 kWh,"1,473.69",12-11-2016,15-12-2016,,12.25,-408.19,T-J,"1,239.45"
