,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,2.92,84.85,162 kWh,929.97,12-05-2017,12-06-2017,10.92,,,,T-0,"1,106.08"
1,75.45,3.02,87.02,165 kWh,937.73,11-04-2017,12-05-2017,11.00,,,,T-0,"1,114.22"
2,75.13,,29.75,141 kWh,765.59,13-03-2017,11-04-2017,4.43,-14.44,-9.33,-403.60,T-0,447.53
3,74.83,2.86,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,465.92
4,74.52,4.80,29.50,134 kWh,708.90,13-01-2017,09-03-2017,4.16,-14.32,-9.26,-373.70,T-0,424.60
5,74.24,8.80,85.64,157 kWh,868.84,11-12-2016,09-03-2017,5.46,-14.26,-9.22,-459.45,T-0,560.05
8,74.52,4.80,29.50,141 kWh,759.40,13-01-2017,10-02-2017,8.63,,,,T-0,876.85
9,74.24,8.80,29.39,150 kWh,821.23,11-12-2016,13-01-2017,4.68,-14.26,-9.22,-432.92,T-0,481.94
10,73.93,202.53,85.29,156 kWh,858.25,09-11-2016,11-12-2016,5.40,-14.21,-9.19,-453.66,T-0,748.34
11,73.63,9.11,84.93,169 kWh,941.71,10-10-2016,09-11-2016,11.00,,,,T-0,"1,120.38"
12,73.34,12.52,84.60,198 kWh,"1,131.90",08-09-2016,10-10-2016,12.90,,,,T-0,"1,315.26"
13,73.04,9.38,84.25,199 kWh,"1,133.71",09-08-2016,08-09-2016,12.91,,,,T-0,"1,313.29"
14,72.75,9.29,83.91,195 kWh,"1,110.73",09-07-2016,09-08-2016,12.67,,,,T-0,"1,289.35"
15,73.20,,83.56,181 kWh,"1,016.24",09-06-2016,09-07-2016,11.73,,,,T-0,"1,184.73"
