,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.03,219.13,86.60,198 kWh,"1,219.87",11-10-2017,10-11-2017,13.86,T-0,"1,618.49"
1,78.71,9.61,86.25,230 kWh,"1,444.72",09-09-2017,11-10-2017,16.10,T-0,"1,635.39"
2,78.39,9.26,85.90,187 kWh,"1,131.21",11-08-2017,09-09-2017,12.96,T-0,"1,317.72"
3,78.07,11.06,85.55,185 kWh,"1,112.63",11-07-2017,11-08-2017,12.76,T-0,"1,300.07"
4,77.75,10.89,85.20,169 kWh,994.56,10-06-2017,11-07-2017,11.58,T-0,"1,179.98"
5,77.42,8.26,84.85,204 kWh,"1,220.15",11-05-2017,10-06-2017,13.82,T-0,"1,404.50"
6,75.45,8.73,87.02,203 kWh,"1,199.02",10-04-2017,11-05-2017,13.61,T-0,"1,383.83"
7,75.13,6.71,86.66,176 kWh,"1,009.04",11-03-2017,10-04-2017,11.71,T-0,"1,189.25"
8,74.83,20.68,86.32,165 kWh,930.00,09-02-2017,11-03-2017,10.91,T-0,"1,122.74"
9,74.52,7.83,29.50,145 kWh,788.12,12-01-2017,09-02-2017,8.92,T-0,908.89
10,74.24,12.16,85.64,171 kWh,963.38,11-12-2016,12-01-2017,11.23,T-0,"1,146.65"
11,73.93,215.08,85.29,201 kWh,"1,161.54",09-11-2016,11-12-2016,13.21,T-0,"1,549.05"
