,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.26,29.97,85 kWh,408.38,16-12-2017,15-01-2018,2.31,-4.46,-8.79,-215.71,T-0,232.96
1,79.36,86.96,166 kWh,994.08,14-11-2017,16-12-2017,11.60,,,,T-0,"1,172.00"
2,79.03,29.72,149 kWh,866.71,14-10-2017,24-11-2017,4.92,-16.57,-8.72,-457.78,T-0,497.31
3,78.71,29.60,149 kWh,863.17,13-09-2017,24-11-2017,4.90,-16.50,-8.68,-455.92,T-0,495.28
6,79.03,86.60,187 kWh,"1,141.27",14-10-2017,14-11-2017,13.07,,,,T-0,"1,319.97"
7,78.71,29.60,111 kWh,573.60,13-09-2017,14-10-2017,3.54,-16.50,-8.68,-302.96,T-0,357.31
8,78.39,85.90,155 kWh,903.02,15-08-2017,13-09-2017,10.67,,,,T-0,"1,077.98"
9,78.07,29.36,142 kWh,803.33,14-07-2017,15-08-2017,4.61,-16.37,-8.61,-424.30,T-0,466.09
10,77.75,29.24,142 kWh,799.99,14-06-2017,22-07-2017,4.60,-16.30,-8.58,-422.52,T-0,464.18
11,77.42,29.12,147 kWh,825.88,15-05-2017,22-07-2017,4.72,-16.23,-8.54,-435.81,T-0,476.56
14,77.75,85.20,171 kWh,"1,009.29",14-06-2017,14-07-2017,11.72,,,,T-0,"1,183.96"
15,77.42,29.12,118 kWh,610.40,15-05-2017,14-06-2017,3.70,-16.23,-8.54,-322.11,T-0,373.76
16,75.45,29.87,150 kWh,834.84,15-04-2017,20-05-2017,4.76,-14.50,-9.37,-440.11,T-0,480.94
17,75.13,29.75,114 kWh,569.44,15-03-2017,20-05-2017,3.50,-14.44,-9.33,-300.20,T-0,353.85
20,75.45,87.02,156 kWh,876.18,15-04-2017,15-05-2017,10.39,,,,T-0,"1,049.04"
21,75.13,29.75,108 kWh,525.80,15-03-2017,15-04-2017,3.30,-14.44,-9.33,-277.20,T-0,333.01
22,74.83,29.63,114 kWh,567.12,12-02-2017,15-03-2017,3.49,-14.38,-9.30,-298.97,T-0,352.42
23,19.88,29.50,94 kWh,431.00,15-01-2017,12-02-2017,2.40,-3.82,-9.26,-227.20,T-0,242.50
