,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.04,140.29,301 kWh,"2,238.85",15-08-2017,13-09-2017,376.50,24.85,T-1,"2,886.53"
1,105.62,139.73,320 kWh,"2,370.66",14-07-2017,15-08-2017,396.33,26.16,T-1,"3,038.50"
2,105.18,139.15,293 kWh,"2,161.57",14-06-2017,14-07-2017,364.49,24.06,T-1,"2,794.45"
3,104.74,138.58,298 kWh,"2,162.67",15-05-2017,14-06-2017,364.51,24.06,T-1,"2,794.56"
4,102.06,142.14,262 kWh,"1,875.90",15-04-2017,15-05-2017,321.20,21.20,T-1,"2,462.50"
5,101.64,141.55,310 kWh,"2,210.43",15-03-2017,15-04-2017,371.72,24.54,T-1,"2,849.88"
6,101.24,140.98,359 kWh,"2,549.39",12-02-2017,15-03-2017,422.93,27.92,T-1,"3,242.46"
7,100.82,140.40,304 kWh,"2,149.88",15-01-2017,12-02-2017,362.25,23.91,T-1,"2,777.26"
8,100.44,139.87,299 kWh,"2,106.77",16-12-2016,15-01-2017,355.58,23.47,T-1,"2,726.13"
9,100.03,139.29,292 kWh,"2,049.08",15-11-2016,16-12-2016,346.69,22.88,T-1,"2,657.97"
10,99.61,138.72,290 kWh,"2,026.33",13-10-2016,15-11-2016,343.10,22.65,T-1,"2,630.41"
11,99.21,138.17,330 kWh,"2,296.09",12-09-2016,13-10-2016,383.82,25.33,T-1,"2,942.62"
