,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,,29.24,110 kWh,559.08,14-06-2017,14-07-2017,,3.46,-16.30,-8.58,-295.29,T-0,349.36
1,77.42,18.04,84.85,322 kWh,"2,048.77",15-05-2017,14-06-2017,143.41,22.11,,,,T-0,"2,394.60"
2,196.53,,161.87,641 kWh,"4,788.64",15-04-2017,15-05-2017,335.20,51.47,,,,T-0,"5,533.71"
3,195.72,15.56,161.20,623 kWh,"4,572.61",15-03-2017,15-04-2017,320.08,49.30,,,,T-0,"5,314.47"
4,194.94,,160.55,580 kWh,"4,087.17",12-02-2017,15-03-2017,286.10,44.43,,,,T-0,"4,773.19"
5,74.52,,85.96,229 kWh,"1,361.89",15-01-2017,12-02-2017,,15.22,,,,T-0,"1,537.59"
6,74.24,4.59,29.39,138 kWh,735.23,15-12-2016,15-01-2017,,4.28,-14.26,-9.22,-387.59,T-0,436.66
7,73.93,,85.29,234 kWh,"1,384.84",12-11-2016,15-12-2016,,15.44,,,,T-0,"1,559.50"
8,73.63,,29.15,150 kWh,814.54,13-10-2016,12-11-2016,,4.65,-14.15,-9.15,-429.40,T-0,469.27
9,73.34,,84.60,341 kWh,"2,089.43",12-09-2016,13-10-2016,146.26,22.47,,,,T-0,"2,416.10"
10,73.04,,84.25,267 kWh,"1,587.61",13-08-2016,12-09-2016,,17.45,,,,T-0,"1,762.35"
11,72.75,-971.24,83.91,267 kWh,"1,590.66",13-07-2016,13-08-2016,,17.47,,,,T-0,793.55
