,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,0.49,29.97,102 kWh,511.08,12-12-2017,12-01-2018,3.25,-16.71,-8.79,-269.94,T-0,329.03
1,79.36,,29.85,109 kWh,562.76,11-11-2017,12-12-2017,3.49,-16.64,-8.76,-297.23,T-0,352.83
2,79.03,,29.72,115 kWh,606.29,12-10-2017,11-11-2017,3.70,-16.57,-8.72,-320.24,T-0,373.21
3,78.71,,29.60,121 kWh,649.61,11-09-2017,12-10-2017,3.90,-16.50,-8.68,-343.12,T-0,393.52
4,78.39,,29.48,122 kWh,654.50,12-08-2017,11-09-2017,3.92,-16.43,-8.65,-345.69,T-0,395.52
5,78.07,0.17,29.36,126 kWh,682.13,12-07-2017,12-08-2017,4.04,-16.37,-8.61,-360.30,T-0,408.49
6,77.75,,29.24,117 kWh,611.58,12-06-2017,12-07-2017,3.71,-16.30,-8.58,-323.02,T-0,374.38
7,77.42,,84.85,157 kWh,895.33,12-05-2017,12-06-2017,10.58,,,,T-0,"1,068.18"
8,75.45,,87.02,208 kWh,"1,233.65",11-04-2017,12-05-2017,13.96,,,,T-0,"1,410.08"
9,75.13,,86.66,174 kWh,995.55,13-03-2017,11-04-2017,11.57,,,,T-0,"1,168.91"
10,74.83,,86.32,188 kWh,"1,087.31",10-02-2017,13-03-2017,12.48,,,,T-0,"1,260.94"
11,74.52,,85.96,151 kWh,831.15,13-01-2017,10-02-2017,9.92,,,,T-0,"1,001.55"
