,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.07,,85.55,213 kWh,"1,312.76",14-07-2017,15-08-2017,10.45,-431.42,T-J,"1,055.41"
1,77.75,,85.20,159 kWh,924.11,14-06-2017,14-07-2017,6.57,-430.04,T-J,663.59
2,77.42,2.18,84.85,159 kWh,911.13,15-05-2017,14-06-2017,6.50,-423.69,T-J,658.39
3,75.45,1.35,87.02,162 kWh,917.53,15-04-2017,15-05-2017,6.63,-417.35,T-J,670.63
4,75.13,,86.66,170 kWh,968.62,15-03-2017,15-04-2017,7.15,-415.58,T-J,721.98
5,74.83,0.53,86.32,175 kWh,984.82,12-02-2017,15-03-2017,7.32,-413.86,T-J,739.96
6,74.52,,85.96,153 kWh,818.85,15-01-2017,12-02-2017,5.67,-412.26,T-J,572.74
7,74.24,,85.64,178 kWh,985.33,15-12-2016,15-01-2017,7.35,-410.58,T-J,741.98
8,73.93,,85.29,177 kWh,974.40,12-11-2016,15-12-2016,7.25,-408.82,T-J,732.05
9,73.63,,84.93,168 kWh,935.49,13-10-2016,12-11-2016,10.94,,T-0,"1,104.99"
10,73.34,,84.60,166 kWh,918.38,12-09-2016,13-10-2016,10.76,,T-0,"1,087.08"
11,73.04,,84.25,174 kWh,967.89,13-08-2016,12-09-2016,11.25,,T-0,"1,136.43"
