,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,115 kWh,611.38,12-12-2017,12-01-2018,3.73,-16.71,-8.79,-322.91,T-0,376.35
1,79.36,29.85,124 kWh,677.97,11-11-2017,12-12-2017,4.04,-16.64,-8.76,-358.10,T-0,407.72
2,79.03,29.72,122 kWh,659.86,12-10-2017,11-11-2017,3.95,-16.57,-8.72,-348.53,T-0,398.74
3,78.71,29.60,127 kWh,695.33,11-09-2017,12-10-2017,4.11,-16.50,-8.68,-367.26,T-0,415.31
4,78.39,29.48,131 kWh,722.79,12-08-2017,11-09-2017,4.24,-16.43,-8.65,-381.76,T-0,428.06
5,78.07,29.36,137 kWh,765.27,12-07-2017,12-08-2017,4.44,-16.37,-8.61,-404.21,T-0,447.95
6,77.75,29.24,115 kWh,596.53,12-06-2017,12-07-2017,3.64,-16.30,-8.58,-315.06,T-0,367.22
7,77.42,29.12,125 kWh,660.93,12-05-2017,12-06-2017,3.94,-16.23,-8.54,-348.73,T-0,397.91
8,75.45,29.87,139 kWh,754.11,11-04-2017,12-05-2017,4.38,-14.50,-9.37,-397.55,T-0,442.39
9,75.13,29.75,129 kWh,678.28,13-03-2017,11-04-2017,4.02,-14.44,-9.33,-357.57,T-0,405.84
10,74.83,29.63,130 kWh,682.89,10-02-2017,13-03-2017,4.04,-14.38,-9.30,-360.00,T-0,407.71
11,19.88,29.50,97 kWh,447.22,13-01-2017,10-02-2017,2.48,-3.82,-9.26,-235.75,T-0,250.25
