,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,107.35,142.03,510 kWh,"3,840.38",13-11-2017,15-12-2017,619.60,40.90,T-1,"4,750.26"
1,106.91,141.44,411 kWh,"3,081.69",13-10-2017,13-11-2017,504.50,33.30,T-1,"3,867.84"
2,106.48,140.87,415 kWh,"3,099.01",12-09-2017,13-10-2017,506.97,33.46,T-1,"3,886.79"
3,106.04,140.29,404 kWh,"3,004.52",14-08-2017,12-09-2017,492.50,32.51,T-1,"3,775.86"
4,105.62,139.73,455 kWh,"3,370.36",13-07-2017,14-08-2017,547.78,36.16,T-1,"4,199.65"
5,105.18,139.15,407 kWh,"3,002.19",13-06-2017,13-07-2017,491.85,32.47,T-1,"3,770.84"
6,104.74,138.58,442 kWh,"3,203.88",13-05-2017,13-06-2017,522.25,34.47,T-1,"4,003.92"
7,102.06,142.14,455 kWh,"3,256.70",12-04-2017,13-05-2017,530.39,35.01,T-1,"4,066.30"
8,101.64,141.55,397 kWh,"2,829.97",14-03-2017,12-04-2017,465.58,30.73,T-1,"3,569.47"
9,101.24,140.98,414 kWh,"2,939.59",11-02-2017,14-03-2017,482.04,31.82,T-1,"3,695.67"
10,100.82,140.40,350 kWh,"2,474.88",14-01-2017,11-02-2017,411.49,27.16,T-1,"3,154.75"
11,100.44,139.87,441 kWh,"3,106.87",15-12-2016,14-01-2017,507.10,33.47,T-1,"3,887.75"
