,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,4.63,29.72,144 kWh,828.16,12-10-2017,11-11-2017,4.74,-16.57,-8.72,-437.41,T-0,483.58
1,78.71,4.28,86.25,155 kWh,906.51,11-09-2017,12-10-2017,5.66,-16.50,-8.68,-479.95,T-0,576.28
2,78.39,3.54,29.48,148 kWh,851.77,12-08-2017,11-09-2017,4.85,-16.43,-8.65,-449.89,T-0,493.06
3,78.07,,29.36,147 kWh,840.84,12-07-2017,12-08-2017,4.79,-16.37,-8.61,-444.11,T-0,483.97
4,77.75,3.96,29.24,145 kWh,822.33,12-06-2017,12-07-2017,4.70,-16.30,-8.58,-434.32,T-0,478.78
5,77.42,,29.12,150 kWh,846.37,12-05-2017,12-06-2017,4.82,-16.23,-8.54,-446.56,T-0,486.40
6,75.45,3.80,87.02,151 kWh,841.35,11-04-2017,12-05-2017,5.36,-14.50,-9.37,-443.77,T-0,545.34
7,75.13,2.57,29.75,145 kWh,794.66,13-03-2017,27-04-2017,4.57,-14.44,-9.33,-418.93,T-0,463.98
8,74.83,2.57,29.63,147 kWh,806.06,10-02-2017,27-04-2017,4.62,-14.38,-9.30,-424.93,T-0,469.10
11,75.13,2.57,29.75,149 kWh,823.76,13-03-2017,11-04-2017,9.29,,,,T-0,940.50
12,74.83,2.57,29.63,143 kWh,777.08,10-02-2017,13-03-2017,4.48,-14.38,-9.30,-409.66,T-0,455.25
13,74.52,4.16,29.50,119 kWh,600.67,13-01-2017,10-02-2017,3.64,-14.32,-9.26,-316.66,T-0,372.25
14,74.24,,29.39,146 kWh,792.57,14-12-2016,13-01-2017,4.55,-14.26,-9.22,-417.81,T-0,459.46
15,73.93,1.81,85.29,160 kWh,885.67,11-11-2016,14-12-2016,5.53,-14.21,-9.19,-468.92,T-0,559.91
