,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,,84.85,331 kWh,"2,093.33",05-05-2017,05-06-2017,146.53,21.78,,,T-0,"2,346.49"
1,,87.02,302 kWh,"1,878.70",04-04-2017,05-05-2017,131.51,19.66,,,T-0,"2,116.89"
2,,86.66,271 kWh,"1,658.64",06-03-2017,04-04-2017,,17.45,,,T-0,"1,762.75"
3,,86.32,256 kWh,"1,549.92",03-02-2017,06-03-2017,,16.36,,,T-0,"1,652.60"
4,12.28,85.96,207 kWh,"1,210.56",06-01-2017,03-02-2017,,12.97,,,T-0,"1,321.77"
5,191.79,85.64,267 kWh,"1,612.18",05-12-2016,06-01-2017,,16.98,,,T-0,"1,906.59"
6,,85.29,293 kWh,"1,780.54",04-11-2016,05-12-2016,,18.66,,,T-0,"1,884.49"
7,,84.93,331 kWh,"2,028.20",05-10-2016,04-11-2016,141.97,21.13,,,T-0,"2,276.23"
8,,84.60,351 kWh,"2,153.80",03-09-2016,05-10-2016,150.77,22.38,,,T-0,"2,411.55"
9,,84.25,297 kWh,"1,785.16",04-08-2016,03-09-2016,,18.69,,,T-0,"1,888.10"
10,,156.07,781 kWh,"6,138.86",05-07-2016,04-08-2016,429.72,62.95,,,T-0,"6,787.60"
11,187.15,83.56,239 kWh,"1,402.55",04-06-2016,15-07-2016,,14.86,,,T-0,"1,688.12"
13,187.15,28.68,124 kWh,624.75,04-06-2016,15-07-2016,,3.15,-9.00,-329.45,T-0,505.28
15,187.15,83.56,451 kWh,"2,817.10",04-06-2016,05-07-2016,197.20,29.01,,,T-0,"3,314.02"
