,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,29.97,104 kWh,526.75,15-12-2017,15-01-2018,3.33,-16.71,-8.79,-278.21,T-0,336.02
1,21.17,0.15,29.85,95 kWh,464.78,14-11-2017,15-12-2017,2.57,-4.44,-8.76,-245.50,T-0,259.82
2,79.03,1.36,29.72,102 kWh,507.05,14-10-2017,14-11-2017,3.23,-16.57,-8.72,-267.82,T-0,327.28
3,21.00,,29.60,98 kWh,478.22,13-09-2017,14-10-2017,2.63,-4.40,-8.68,-252.59,T-0,265.78
4,20.91,0.46,29.48,86 kWh,407.39,15-08-2017,13-09-2017,2.30,-4.38,-8.65,-215.18,T-0,232.33
5,20.83,1.41,29.36,92 kWh,440.07,14-07-2017,15-08-2017,2.45,-4.37,-8.61,-232.44,T-0,248.70
6,20.74,,29.24,94 kWh,449.64,14-06-2017,14-07-2017,2.49,-4.35,-8.58,-237.48,T-0,251.70
7,20.65,,29.12,96 kWh,454.36,15-05-2017,14-06-2017,2.51,-4.33,-8.54,-239.77,T-0,254.00
8,20.13,,29.87,84 kWh,381.13,15-04-2017,15-05-2017,2.17,-3.87,-9.37,-200.92,T-0,219.14
9,20.04,,29.75,81 kWh,363.04,15-03-2017,15-04-2017,2.08,-3.85,-9.33,-191.38,T-0,210.35
10,19.96,,29.63,79 kWh,350.60,12-02-2017,15-03-2017,2.02,-3.84,-9.30,-184.83,T-0,204.24
11,19.88,,29.50,67 kWh,283.64,15-01-2017,12-02-2017,1.70,-3.82,-9.26,-149.52,T-0,172.12
