,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.08,85.13,29.72,65 kWh,288.70,05-10-2017,04-11-2017,,1.74,-4.42,-8.72,-152.49,T-0,260.74
1,21.00,36.40,29.60,76 kWh,350.90,04-09-2017,05-10-2017,,2.03,-4.40,-8.68,-185.34,T-0,241.51
2,20.91,34.23,29.48,74 kWh,337.96,04-08-2017,04-09-2017,,1.97,-4.38,-8.65,-178.50,T-0,233.02
3,20.83,,29.36,61 kWh,262.36,05-07-2017,04-08-2017,,1.61,-4.37,-8.61,-138.58,T-0,162.60
4,77.75,57.98,29.24,107 kWh,535.72,05-06-2017,05-07-2017,,3.35,-16.30,-8.58,-282.94,T-0,396.22
5,77.42,20.52,84.85,318 kWh,"2,003.25",05-05-2017,05-06-2017,140.23,21.66,,,,T-0,"2,347.93"
6,20.13,15.94,29.87,79 kWh,352.89,04-04-2017,05-05-2017,,2.04,-3.87,-9.37,-186.04,T-0,221.59
7,20.04,,29.75,54 kWh,214.07,06-03-2017,04-04-2017,,1.38,-3.85,-9.33,-112.85,T-0,139.21
8,19.96,10.86,29.63,51 kWh,196.81,03-02-2017,06-03-2017,,1.30,-3.84,-9.30,-103.76,T-0,141.66
9,16.27,4.42,29.50,50 kWh,190.54,06-01-2017,03-02-2017,,1.23,-3.13,-9.26,-100.44,T-0,129.13
10,19.80,877.28,29.39,85 kWh,379.90,05-12-2016,06-01-2017,,2.16,-3.81,-9.22,-200.28,T-0,"1,095.22"
11,19.73,,29.27,65 kWh,270.12,04-11-2016,05-12-2016,,1.64,-3.79,-9.19,-142.41,T-0,165.37
