,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.36,19.13,86.96,244 kWh,"1,558.35",11-11-2017,13-12-2017,17.25,T-0,"1,761.05"
1,79.03,,86.60,221 kWh,"1,385.90",12-10-2017,11-11-2017,15.52,T-0,"1,567.05"
2,78.71,15.88,86.25,242 kWh,"1,531.18",11-09-2017,12-10-2017,16.96,T-0,"1,728.98"
3,78.39,203.38,85.90,250 kWh,"1,582.02",12-08-2017,11-09-2017,17.46,T-0,"1,967.15"
4,78.07,7.30,85.55,239 kWh,"1,497.39",12-07-2017,12-08-2017,16.61,T-0,"1,684.92"
5,77.75,9.18,85.20,227 kWh,"1,406.12",12-06-2017,12-07-2017,15.69,T-0,"1,593.94"
6,77.42,9.88,84.85,228 kWh,"1,389.36",12-05-2017,12-06-2017,15.52,T-0,"1,577.03"
7,75.45,8.71,87.02,226 kWh,"1,357.51",11-04-2017,12-05-2017,15.20,T-0,"1,543.89"
8,75.13,203.70,86.66,196 kWh,"1,146.35",13-03-2017,11-04-2017,13.08,T-0,"1,524.92"
9,74.83,11.07,86.32,186 kWh,"1,073.63",10-02-2017,13-03-2017,12.35,T-0,"1,258.20"
10,74.52,10.40,85.96,155 kWh,858.35,13-01-2017,10-02-2017,10.19,T-0,"1,039.42"
11,74.24,9.81,85.64,188 kWh,"1,078.67",12-12-2016,13-01-2017,12.39,T-0,"1,260.75"
