,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,77.75,12.13,85.20,248 kWh,"1,553.87",07-06-2017,07-07-2017,,12.88,-429.13,T-J,"1,312.70"
1,77.42,10.85,84.85,250 kWh,"1,535.56",08-05-2017,07-06-2017,,12.80,-418.17,T-J,"1,303.31"
2,75.45,9.17,87.02,274 kWh,"1,686.85",06-04-2017,08-05-2017,,14.33,-416.45,T-J,"1,456.37"
3,75.13,6.71,86.66,243 kWh,"1,467.35",08-03-2017,06-04-2017,,12.14,-414.78,T-J,"1,233.21"
4,74.83,201.51,86.32,232 kWh,"1,360.50",06-02-2017,08-03-2017,,11.09,-413.06,T-J,"1,321.19"
5,74.52,9.73,85.96,193 kWh,"1,089.88",09-01-2017,06-02-2017,,8.39,-411.52,T-J,856.96
6,74.24,10.32,85.64,221 kWh,"1,275.50",09-12-2016,09-01-2017,,10.26,-409.82,T-J,"1,046.14"
7,73.93,11.86,85.29,250 kWh,"1,465.73",07-11-2016,09-12-2016,,12.17,-408.12,T-J,"1,240.86"
8,73.63,17.62,84.93,251 kWh,"1,466.18",07-10-2016,07-11-2016,,12.18,-406.49,T-J,"1,248.05"
9,73.34,18.60,84.60,258 kWh,"1,506.95",06-09-2016,07-10-2016,,12.60,-404.82,T-J,"1,291.27"
10,,16.94,84.25,284 kWh,"1,699.35",06-08-2016,06-09-2016,,17.84,,T-0,"1,818.38"
11,,12.28,83.91,308 kWh,"1,867.40",07-07-2016,06-08-2016,130.72,19.51,,T-0,"2,113.82"
