,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,,85.55,296 kWh,"1,902.62",10-07-2017,09-08-2017,20.66,,,,T-0,"2,086.90"
1,77.75,0.22,85.20,288 kWh,"1,838.19",09-06-2017,10-07-2017,20.01,,,,T-0,"2,021.37"
2,77.42,,29.12,148 kWh,829.20,10-05-2017,09-06-2017,4.74,-16.23,-8.54,-437.41,T-0,478.30
3,75.45,,87.02,163 kWh,923.59,08-04-2017,10-05-2017,10.86,,,,T-0,"1,096.92"
4,75.13,,29.75,139 kWh,750.70,10-03-2017,08-04-2017,4.36,-14.44,-9.33,-395.74,T-0,440.43
5,74.83,0.32,29.63,145 kWh,791.27,08-02-2017,10-03-2017,4.55,-14.38,-9.30,-417.13,T-0,459.79
6,74.52,,29.50,112 kWh,550.00,11-01-2017,08-02-2017,3.40,-14.32,-9.26,-289.95,T-0,343.89
7,74.24,,29.39,105 kWh,497.68,11-12-2016,11-01-2017,3.15,-14.26,-9.22,-262.36,T-0,318.62
8,73.93,,85.29,194 kWh,"1,114.33",09-11-2016,11-12-2016,12.74,,,,T-0,"1,286.29"
9,73.63,,84.93,175 kWh,982.03,10-10-2016,09-11-2016,11.41,,,,T-0,"1,152.00"
10,73.34,,84.60,179 kWh,"1,004.82",08-09-2016,10-10-2016,11.63,,,,T-0,"1,174.39"
11,73.04,1.58,84.25,163 kWh,893.98,09-08-2016,08-09-2016,10.51,,,,T-0,"1,063.36"
