,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,77.42,11.23,84.85,236 kWh,"1,448.53",15-05-2017,14-06-2017,16.11,T-0,"1,638.14"
1,75.45,15.35,87.02,221 kWh,"1,323.86",15-04-2017,15-05-2017,14.86,T-0,"1,516.54"
2,75.13,8.80,86.66,210 kWh,"1,242.96",15-03-2017,15-04-2017,14.05,T-0,"1,427.60"
3,74.83,203.20,86.32,216 kWh,"1,278.89",12-02-2017,15-03-2017,14.40,T-0,"1,657.64"
4,74.52,15.37,85.96,177 kWh,"1,008.26",15-01-2017,12-02-2017,11.69,T-0,"1,195.80"
5,74.24,13.42,85.64,212 kWh,"1,241.72",15-12-2016,15-01-2017,14.02,T-0,"1,429.04"
6,73.93,14.94,85.29,260 kWh,"1,560.27",12-11-2016,15-12-2016,17.19,T-0,"1,751.62"
7,73.63,13.82,84.93,241 kWh,"1,425.88",13-10-2016,12-11-2016,15.84,T-0,"1,614.10"
8,73.34,13.32,84.60,255 kWh,"1,513.93",12-09-2016,13-10-2016,16.72,T-0,"1,701.91"
9,73.04,205.94,84.25,222 kWh,"1,287.71",13-08-2016,12-09-2016,14.45,T-0,"1,665.39"
10,72.75,210.68,83.91,213 kWh,"1,229.87",13-07-2016,13-08-2016,13.87,T-0,"1,611.08"
11,73.20,210.30,83.56,227 kWh,"1,324.18",13-06-2016,13-07-2016,14.81,T-0,"1,706.05"
