,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.04,,140.29,254 kWh,"1,888.65",12-08-2017,11-09-2017,323.45,21.35,T-1,"2,479.78"
1,105.62,,139.73,234 kWh,"1,732.95",12-07-2017,12-08-2017,299.71,19.78,T-1,"2,297.79"
2,105.18,,139.15,273 kWh,"2,013.46",12-06-2017,12-07-2017,342.06,22.58,T-1,"2,622.43"
3,104.74,,138.58,326 kWh,"2,361.14",12-05-2017,12-06-2017,394.58,26.04,T-1,"3,025.08"
4,102.06,1.36,142.14,372 kWh,"2,662.27",11-04-2017,12-05-2017,440.33,29.06,T-1,"3,377.22"
5,101.64,1.34,141.55,319 kWh,"2,273.63",13-03-2017,11-04-2017,381.30,25.17,T-1,"2,924.63"
6,101.24,,140.98,315 kWh,"2,236.35",10-02-2017,13-03-2017,375.50,24.79,T-1,"2,878.86"
7,100.82,,140.40,207 kWh,"1,463.52",13-01-2017,10-02-2017,258.27,17.05,T-1,"1,980.06"
8,100.44,,139.87,196 kWh,"1,380.63",14-12-2016,13-01-2017,245.57,16.21,T-1,"1,882.72"
9,100.03,,139.29,246 kWh,"1,725.65",11-11-2016,14-12-2016,297.69,19.65,T-1,"2,282.31"
10,99.61,,138.72,254 kWh,"1,774.07",11-10-2016,11-11-2016,304.88,20.12,T-1,"2,337.40"
11,99.21,,138.17,252 kWh,"1,752.84",09-09-2016,11-10-2016,301.52,19.90,T-1,"2,311.64"
