,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,,29.24,141 kWh,792.24,12-06-2017,12-07-2017,4.56,-16.30,-8.58,-418.43,T-0,460.48
1,77.42,,84.85,152 kWh,860.40,12-05-2017,12-06-2017,5.43,-16.23,-8.54,-454.41,T-0,548.92
2,75.45,,87.02,158 kWh,889.53,11-04-2017,12-05-2017,10.52,,,,T-0,"1,062.52"
3,75.13,0.25,29.75,138 kWh,743.77,13-03-2017,11-04-2017,4.33,-14.44,-9.33,-392.09,T-0,437.37
4,74.83,,86.32,151 kWh,834.62,10-02-2017,13-03-2017,5.32,-14.38,-9.30,-440.20,T-0,537.21
5,74.52,,29.50,132 kWh,694.47,13-01-2017,10-02-2017,4.09,-14.32,-9.26,-366.10,T-0,412.90
6,74.24,,29.39,128 kWh,663.18,14-12-2016,13-01-2017,3.94,-14.26,-9.22,-349.60,T-0,397.67
7,73.93,,85.29,167 kWh,932.66,11-11-2016,14-12-2016,10.92,,,,T-0,"1,102.80"
8,73.63,,29.15,148 kWh,800.14,12-10-2016,11-11-2016,4.58,-14.15,-9.15,-421.81,T-0,462.39
9,73.34,,84.60,159 kWh,871.60,10-09-2016,12-10-2016,5.45,-14.09,-9.11,-461.28,T-0,550.51
10,73.04,,28.91,145 kWh,772.40,12-08-2016,17-09-2016,4.44,-14.03,-9.07,-407.19,T-0,448.50
12,73.04,,28.91,146 kWh,779.46,12-08-2016,10-09-2016,8.81,,,,T-0,890.22
13,72.75,,28.80,145 kWh,773.79,12-07-2016,12-08-2016,4.44,-13.98,-9.04,-407.98,T-0,448.78
