,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,57.98,29.24,107 kWh,535.72,05-06-2017,05-07-2017,,3.35,-16.30,-8.58,-282.94,T-0,396.22
1,77.42,20.52,84.85,318 kWh,"2,003.25",05-05-2017,05-06-2017,140.23,21.66,,,,T-0,"2,347.93"
2,20.13,15.94,29.87,79 kWh,352.89,04-04-2017,05-05-2017,,2.04,-3.87,-9.37,-186.04,T-0,221.59
3,20.04,,29.75,54 kWh,214.07,06-03-2017,04-04-2017,,1.38,-3.85,-9.33,-112.85,T-0,139.21
4,19.96,10.86,29.63,51 kWh,196.81,03-02-2017,06-03-2017,,1.30,-3.84,-9.30,-103.76,T-0,141.66
5,16.27,4.42,29.50,50 kWh,190.54,06-01-2017,03-02-2017,,1.23,-3.13,-9.26,-100.44,T-0,129.13
6,19.80,877.28,29.39,85 kWh,379.90,05-12-2016,06-01-2017,,2.16,-3.81,-9.22,-200.28,T-0,"1,095.22"
7,19.73,,29.27,65 kWh,270.12,04-11-2016,05-12-2016,,1.64,-3.79,-9.19,-142.41,T-0,165.37
8,19.64,,29.15,73 kWh,312.10,05-10-2016,04-11-2016,,1.83,-3.77,-9.15,-164.52,T-0,185.28
9,19.57,,29.03,78 kWh,337.68,03-09-2016,05-10-2016,,1.95,-3.76,-9.11,-178.02,T-0,197.34
10,19.48,,28.91,65 kWh,266.78,04-08-2016,03-09-2016,,1.62,-3.74,-9.07,-140.64,T-0,163.34
11,19.41,,28.80,95 kWh,429.26,05-07-2016,04-08-2016,,2.38,-3.73,-9.04,-226.35,T-0,240.73
