,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,,29.36,145 kWh,825.62,11-07-2017,11-08-2017,2.77,-16.37,-8.61,-412.82,-218.04,T-J,279.98
1,77.75,,29.24,137 kWh,761.98,10-06-2017,11-07-2017,2.62,-16.30,-8.58,-380.97,-201.22,T-J,264.52
2,77.42,,84.85,151 kWh,851.87,11-05-2017,10-06-2017,5.92,,,-422.40,,T-J,597.66
3,75.45,,87.02,154 kWh,861.87,10-04-2017,11-05-2017,3.56,-14.50,-9.37,-417.14,-227.62,T-J,359.27
4,75.13,,29.75,143 kWh,779.99,11-03-2017,10-04-2017,2.66,-14.44,-9.33,-390.00,-205.59,T-J,268.17
5,74.83,,29.63,135 kWh,705.98,09-02-2017,11-03-2017,2.38,-14.38,-9.30,-359.47,-189.52,T-J,240.15
6,74.52,,29.50,119 kWh,581.57,12-01-2017,09-02-2017,2.03,-14.32,-9.26,-300.29,-158.31,T-J,205.44
7,74.24,,85.64,162 kWh,876.44,11-12-2016,12-01-2017,6.26,,,-410.47,,T-J,632.11
8,73.93,0.11,85.29,155 kWh,824.45,09-11-2016,11-12-2016,3.27,-14.21,-9.19,-408.75,-224.94,T-J,329.96
9,73.63,,29.15,144 kWh,746.96,10-10-2016,09-11-2016,2.37,-14.15,-9.15,-385.69,-203.33,T-J,239.79
10,73.34,,29.03,144 kWh,743.96,08-09-2016,10-10-2016,2.36,-14.09,-9.11,-384.15,-202.52,T-J,238.82
11,73.04,,28.91,132 kWh,658.74,09-08-2016,08-09-2016,2.18,-14.03,-9.07,-340.13,-179.31,T-J,220.33
