,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,,85.20,158 kWh,918.57,27-06-2017,28-07-2017,10.82,,,,T-0,"1,092.34"
1,77.42,,84.85,172 kWh,"1,012.62",28-05-2017,27-06-2017,11.75,,,,T-0,"1,186.64"
2,75.45,,29.87,147 kWh,814.19,27-04-2017,28-05-2017,4.66,-14.50,-9.37,-429.21,T-0,471.09
3,75.13,4.35,29.75,129 kWh,679.64,28-03-2017,27-04-2017,4.02,-14.44,-9.33,-358.31,T-0,410.81
4,74.83,,29.63,110 kWh,539.05,25-02-2017,28-03-2017,3.36,-14.38,-9.30,-284.18,T-0,339.01
5,74.52,,29.50,148 kWh,811.46,28-01-2017,03-03-2017,9.15,,,,T-0,924.63
7,11.87,,29.50,,,28-01-2017,25-02-2017,0.41,,,,T-0,41.78
8,12.63,206.16,29.39,1 kWh,2.41,28-12-2016,28-01-2017,0.32,-2.43,-9.22,-1.27,T-0,237.99
9,73.93,,29.27,125 kWh,640.12,26-11-2016,28-12-2016,3.82,-14.21,-9.19,-337.45,T-0,386.29
10,73.63,1.95,84.93,153 kWh,836.26,28-10-2016,26-11-2016,9.95,,,,T-0,"1,006.72"
11,73.34,0.48,84.60,160 kWh,879.86,27-09-2016,28-10-2016,10.38,,,,T-0,"1,048.66"
12,73.04,0.83,84.25,159 kWh,869.51,27-08-2016,27-09-2016,10.27,,,,T-0,"1,037.90"
13,72.75,,28.80,144 kWh,764.35,28-07-2016,27-08-2016,4.40,-13.98,-9.04,-402.96,T-0,444.32
