,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,107.80,142.62,845 kWh,"6,387.20",12-12-2017,12-01-2018,"1,005.60",66.38,T-1,"7,709.60"
1,107.35,142.03,910 kWh,"6,850.10",11-11-2017,12-12-2017,"1,075.57",70.99,T-1,"8,246.04"
2,106.91,141.44,897 kWh,"6,724.30",12-10-2017,11-11-2017,"1,056.36",69.73,T-1,"8,098.74"
3,106.48,140.87,890 kWh,"6,645.16",11-09-2017,12-10-2017,"1,044.22",68.93,T-1,"8,005.66"
4,106.04,140.29,887 kWh,"6,595.36",12-08-2017,11-09-2017,"1,036.52",68.42,T-1,"7,946.63"
5,105.62,139.73,880 kWh,"6,517.09",12-07-2017,12-08-2017,"1,024.51",67.62,T-1,"7,854.57"
6,105.18,139.15,862 kWh,"6,357.53",12-06-2017,12-07-2017,"1,000.18",66.02,T-1,"7,668.06"
7,104.74,138.58,907 kWh,"6,569.05",12-05-2017,12-06-2017,"1,032.07",68.12,T-1,"7,912.56"
8,102.06,142.14,956 kWh,"6,841.74",11-04-2017,12-05-2017,"1,073.52",70.86,T-1,"8,230.32"
9,101.64,141.55,851 kWh,"6,065.38",13-03-2017,11-04-2017,955.75,63.09,T-1,"7,327.41"
10,101.24,140.98,882 kWh,"6,261.73",10-02-2017,13-03-2017,985.35,65.04,T-1,"7,554.34"
11,100.82,140.40,786 kWh,"5,557.12",13-01-2017,10-02-2017,878.45,57.98,T-1,"6,734.77"
