,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.36,245.02,86.96,222 kWh,"1,397.43",04-11-2017,05-12-2017,11.26,-438.03,T-J,"1,382.00"
1,79.03,26.78,86.60,221 kWh,"1,384.39",05-10-2017,04-11-2017,11.14,-436.27,T-J,"1,151.67"
2,78.71,,86.25,236 kWh,"1,486.49",04-09-2017,05-10-2017,12.17,-434.46,T-J,"1,229.16"
3,78.39,204.76,85.90,244 kWh,"1,537.47",04-08-2017,04-09-2017,12.69,-432.73,T-J,"1,486.48"
4,78.07,,85.55,218 kWh,"1,346.17",05-07-2017,04-08-2017,10.79,-430.95,T-J,"1,089.63"
5,77.75,12.38,85.20,235 kWh,"1,461.22",05-06-2017,05-07-2017,11.95,-429.13,T-J,"1,219.37"
6,77.42,9.45,84.85,238 kWh,"1,449.30",05-05-2017,05-06-2017,11.93,-418.17,T-J,"1,214.78"
7,75.45,7.77,87.02,240 kWh,"1,452.33",04-04-2017,05-05-2017,11.98,-416.45,T-J,"1,218.10"
8,75.13,202.25,86.66,221 kWh,"1,316.22",06-03-2017,04-04-2017,10.63,-414.78,T-J,"1,276.11"
9,74.83,,86.32,231 kWh,"1,353.21",03-02-2017,06-03-2017,11.01,-413.06,T-J,"1,112.31"
10,74.52,3.88,85.96,197 kWh,"1,116.55",06-01-2017,03-02-2017,8.66,-411.52,T-J,878.05
11,74.24,1.48,85.64,222 kWh,"1,281.66",05-12-2016,06-01-2017,10.32,-409.82,T-J,"1,043.52"
