,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,207.58,45.54,162.41,599 kWh,"4,571.28",14-12-2017,14-01-2018,319.99,49.41,,,,T-0,"5,356.21"
1,79.36,50.67,86.96,266 kWh,"1,717.81",11-11-2017,14-12-2017,,18.84,,,,T-0,"1,953.64"
2,79.03,21.08,86.60,348 kWh,"2,301.56",12-10-2017,11-11-2017,161.11,24.67,,,,T-0,"2,674.05"
3,78.71,195.38,86.25,297 kWh,"1,926.14",11-09-2017,12-10-2017,,20.91,,,,T-0,"2,307.39"
4,204.19,7.81,159.77,537 kWh,"3,790.60",12-08-2017,11-09-2017,265.34,41.55,,,,T-0,"4,469.26"
5,17.04,279.71,29.36,49 kWh,194.38,12-07-2017,12-08-2017,,1.26,-3.57,-8.61,-102.68,T-0,406.89
6,20.74,,29.24,75 kWh,341.34,12-06-2017,12-07-2017,,1.98,-4.35,-8.58,-180.28,T-0,200.09
7,77.42,,84.85,275 kWh,"1,716.79",12-05-2017,12-06-2017,,18.79,,,,T-0,"1,897.85"
8,75.45,218.22,87.02,298 kWh,"1,853.12",11-04-2017,12-05-2017,,20.16,,,,T-0,"2,253.97"
9,75.13,206.83,86.66,262 kWh,"1,598.73",13-03-2017,11-04-2017,,17.61,,,,T-0,"1,984.96"
10,74.83,98.46,86.32,252 kWh,"1,524.26",10-02-2017,13-03-2017,,16.85,,,,T-0,"1,800.72"
11,74.52,16.81,85.96,204 kWh,"1,191.50",13-01-2017,10-02-2017,,13.52,,,,T-0,"1,382.31"
