,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,7.06,85.20,166 kWh,973.50,12-06-2017,12-07-2017,11.36,,,,T-0,"1,154.87"
1,77.42,,84.85,183 kWh,"1,076.21",12-05-2017,12-06-2017,12.38,,,,T-0,"1,250.86"
2,75.45,,87.02,173 kWh,992.76,11-04-2017,12-05-2017,11.55,,,,T-0,"1,166.78"
3,75.13,,29.75,145 kWh,794.66,13-03-2017,11-04-2017,4.57,-14.44,-9.33,-418.93,T-0,461.41
4,74.83,3.30,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,466.36
5,74.52,135.17,29.50,130 kWh,680.06,13-01-2017,10-02-2017,4.02,-14.32,-9.26,-358.50,T-0,541.19
6,74.24,,85.64,155 kWh,855.23,11-12-2016,13-01-2017,5.40,-14.26,-9.22,-451.85,T-0,545.18
7,73.93,603.66,85.29,187 kWh,"1,067.11",09-11-2016,11-12-2016,12.26,,,,T-0,"1,842.25"
8,73.63,,84.93,181 kWh,"1,022.29",10-10-2016,09-11-2016,11.81,,,,T-0,"1,192.66"
9,73.34,415.52,84.60,183 kWh,"1,031.56",08-09-2016,10-10-2016,11.90,,,,T-0,"1,616.92"
10,73.04,,84.25,186 kWh,"1,047.13",09-08-2016,08-09-2016,12.04,,,,T-0,"1,216.46"
11,72.75,286.08,83.91,196 kWh,"1,117.38",09-07-2016,09-08-2016,12.74,,,,T-0,"1,572.86"
