,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,107.80,9.32,142.62,232 kWh,"1,753.98",14-12-2017,13-01-2018,303.67,20.04,T-1,"2,337.43"
1,107.35,10.43,142.03,253 kWh,"1,904.79",11-11-2017,14-12-2017,326.36,21.54,T-1,"2,512.50"
2,106.91,9.42,141.44,224 kWh,"1,679.21",12-10-2017,11-11-2017,292.03,19.28,T-1,"2,248.29"
3,106.48,,140.87,200 kWh,"1,493.29",11-09-2017,12-10-2017,263.71,17.41,T-1,"2,021.76"
4,106.04,9.04,140.29,238 kWh,"1,769.65",12-08-2017,11-09-2017,305.42,20.16,T-1,"2,350.60"
5,105.62,9.77,139.73,249 kWh,"1,844.03",12-07-2017,12-08-2017,316.54,20.89,T-1,"2,436.58"
6,105.18,9.89,139.15,239 kWh,"1,762.71",12-06-2017,12-07-2017,304.07,20.07,T-1,"2,341.07"
7,104.74,11.61,138.58,282 kWh,"2,042.40",12-05-2017,12-06-2017,346.29,22.86,T-1,"2,666.48"
8,102.06,9.93,142.14,299 kWh,"2,139.83",11-04-2017,12-05-2017,361.18,23.84,T-1,"2,778.98"
9,101.64,8.76,141.55,252 kWh,"1,796.10",13-03-2017,11-04-2017,308.95,20.39,T-1,"2,377.39"
10,101.24,,140.98,251 kWh,"1,781.97",10-02-2017,13-03-2017,306.66,20.24,T-1,"2,351.09"
11,100.82,,140.40,225 kWh,"1,590.78",13-01-2017,10-02-2017,277.55,18.32,T-1,"2,127.87"
