,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,,29.36,107 kWh,538.53,12-07-2017,12-08-2017,3.37,-16.37,-8.61,-284.44,T-0,339.91
1,77.75,,29.24,105 kWh,521.26,12-06-2017,12-07-2017,3.28,-16.30,-8.58,-275.31,T-0,331.34
2,77.42,,29.12,129 kWh,690.69,12-05-2017,12-06-2017,4.08,-16.23,-8.54,-364.41,T-0,412.13
3,75.45,,29.87,133 kWh,710.30,11-04-2017,12-05-2017,4.17,-14.50,-9.37,-374.45,T-0,421.47
4,75.13,,29.75,117 kWh,591.01,13-03-2017,11-04-2017,3.61,-14.44,-9.33,-311.57,T-0,364.16
5,74.83,,29.63,116 kWh,581.46,10-02-2017,13-03-2017,3.56,-14.38,-9.30,-306.54,T-0,359.26
6,74.52,,29.50,108 kWh,521.33,13-01-2017,10-02-2017,3.27,-14.32,-9.26,-274.82,T-0,330.22
7,74.24,2.47,29.39,128 kWh,663.18,14-12-2016,13-01-2017,3.94,-14.26,-9.22,-349.60,T-0,400.14
8,73.93,,29.27,130 kWh,674.74,11-11-2016,14-12-2016,3.99,-14.21,-9.19,-355.71,T-0,402.82
9,73.63,,29.15,116 kWh,572.06,12-10-2016,11-11-2016,3.50,-14.15,-9.15,-301.57,T-0,353.47
10,73.34,,29.03,125 kWh,633.66,10-09-2016,12-10-2016,3.79,-14.09,-9.11,-334.04,T-0,382.58
11,73.04,,28.91,104 kWh,482.51,12-08-2016,10-09-2016,3.07,-14.03,-9.07,-254.38,T-0,310.05
