,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,20.13,,29.87,94 kWh,436.06,10-04-2017,11-05-2017,2.43,-3.87,-9.37,-229.89,T-0,245.36
1,20.04,0.67,29.75,61 kWh,252.78,11-03-2017,10-04-2017,1.56,-3.85,-9.33,-133.25,T-0,158.37
2,19.96,,29.63,56 kWh,224.41,09-02-2017,11-03-2017,1.43,-3.84,-9.30,-118.30,T-0,143.99
3,16.27,0.58,29.50,50 kWh,190.74,12-01-2017,09-02-2017,1.24,-3.13,-9.26,-100.54,T-0,125.40
4,19.80,0.29,29.39,69 kWh,293.32,11-12-2016,12-01-2017,1.75,-3.81,-9.22,-154.62,T-0,176.90
5,19.73,0.31,29.27,82 kWh,362.40,09-11-2016,11-12-2016,2.07,-3.79,-9.19,-191.05,T-0,209.75
6,19.64,,29.15,65 kWh,269.24,10-10-2016,09-11-2016,1.63,-3.77,-9.15,-141.94,T-0,164.80
7,19.57,1.00,29.03,76 kWh,327.21,08-09-2016,10-10-2016,1.90,-3.76,-9.11,-172.49,T-0,193.35
8,19.48,,28.91,71 kWh,299.09,09-08-2016,08-09-2016,1.77,-3.74,-9.07,-157.68,T-0,178.76
9,19.41,,28.80,77 kWh,332.18,09-07-2016,09-08-2016,1.92,-3.73,-9.04,-175.15,T-0,194.39
10,19.53,0.88,28.68,70 kWh,294.44,09-06-2016,09-07-2016,1.74,-3.92,-9.00,-155.27,T-0,177.08
11,19.45,0.14,28.56,94 kWh,421.29,10-05-2016,09-06-2016,2.34,-3.90,-8.96,-222.17,T-0,236.75
