,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,104.74,20.36,138.58,1162 kWh,"8,433.14",15-05-2017,14-06-2017,"1,314.48",86.76,T-1,"10,098.06"
1,102.06,20.29,142.14,1280 kWh,"9,164.74",15-04-2017,15-05-2017,"1,425.45",94.09,T-1,"10,948.77"
2,101.64,,141.55,1281 kWh,"9,134.08",15-03-2017,15-04-2017,"1,420.66",93.77,T-1,"10,891.70"
3,101.24,8.56,140.98,1235 kWh,"8,770.21",12-02-2017,15-03-2017,"1,365.38",90.12,T-1,"10,476.49"
4,100.82,4.33,140.40,1085 kWh,"7,673.12",15-01-2017,12-02-2017,"1,199.02",79.14,T-1,"9,196.83"
5,100.44,,139.87,1101 kWh,"7,757.68",16-12-2016,15-01-2017,"1,211.70",79.98,T-1,"9,289.67"
6,100.03,24.59,139.29,1191 kWh,"8,357.75",15-11-2016,16-12-2016,"1,302.46",85.97,T-1,"10,010.09"
7,99.61,,138.72,1267 kWh,"8,852.97",13-10-2016,15-11-2016,"1,377.33",90.91,T-1,"10,559.54"
8,99.21,17.44,138.17,1161 kWh,"8,078.05",12-09-2016,13-10-2016,"1,259.79",83.15,T-1,"9,675.81"
9,98.81,,137.60,1129 kWh,"7,823.01",13-08-2016,12-09-2016,"1,221.00",80.59,T-1,"9,361.01"
10,98.41,,137.05,1157 kWh,"8,036.12",13-07-2016,13-08-2016,"1,253.15",82.72,T-1,"9,607.45"
11,99.03,,136.48,1154 kWh,"8,014.87",13-06-2016,13-07-2016,"1,249.93",82.50,T-1,"9,582.81"
