,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.26,,29.97,83 kWh,396.48,12-12-2017,12-01-2018,2.25,-4.46,-8.79,-209.41,T-0,227.30
1,21.17,,29.85,98 kWh,481.97,10-11-2017,12-12-2017,2.65,-4.44,-8.76,-254.57,T-0,267.87
2,21.08,,29.72,94 kWh,456.76,11-10-2017,10-11-2017,2.53,-4.42,-8.72,-241.25,T-0,255.70
3,21.00,,29.60,93 kWh,449.17,09-09-2017,11-10-2017,2.49,-4.40,-8.68,-237.24,T-0,251.94
4,78.39,,29.48,102 kWh,502.60,11-08-2017,09-09-2017,3.20,-16.43,-8.65,-265.46,T-0,323.13
5,20.83,,29.36,67 kWh,296.98,11-07-2017,11-08-2017,1.77,-4.37,-8.61,-156.86,T-0,179.10
6,20.74,0.99,29.24,77 kWh,352.66,10-06-2017,11-07-2017,2.03,-4.35,-8.58,-186.25,T-0,206.48
7,20.65,,29.12,81 kWh,368.68,11-05-2017,10-06-2017,2.11,-4.33,-8.54,-194.49,T-0,213.20
8,20.13,,29.87,81 kWh,364.28,10-04-2017,11-05-2017,2.09,-3.87,-9.37,-192.05,T-0,211.08
9,20.04,,29.75,65 kWh,274.77,11-03-2017,10-04-2017,1.67,-3.85,-9.33,-144.85,T-0,168.20
10,16.33,,29.63,45 kWh,165.38,09-02-2017,11-03-2017,1.12,-3.14,-9.30,-87.19,T-0,112.83
11,16.27,2.45,29.50,47 kWh,175.11,12-01-2017,09-02-2017,1.16,-3.13,-9.26,-92.31,T-0,119.79
