,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.03,6.06,86.60,236 kWh,"1,494.99",16-10-2017,15-11-2017,16.61,T-0,"1,683.29"
1,78.71,0.74,86.25,230 kWh,"1,446.06",16-09-2017,16-10-2017,16.11,T-0,"1,627.87"
2,78.39,4.65,85.90,226 kWh,"1,411.42",16-08-2017,16-09-2017,15.76,T-0,"1,596.12"
3,78.07,2.99,85.55,237 kWh,"1,483.98",15-07-2017,16-08-2017,16.48,T-0,"1,667.07"
4,77.75,,85.20,230 kWh,"1,428.12",15-06-2017,15-07-2017,15.91,T-0,"1,606.98"
5,77.42,0.63,84.85,235 kWh,"1,443.17",16-05-2017,15-06-2017,16.05,T-0,"1,622.12"
6,75.45,,87.02,199 kWh,"1,172.56",16-04-2017,16-05-2017,13.35,T-0,"1,348.38"
7,75.13,,86.66,202 kWh,"1,188.29",16-03-2017,16-04-2017,13.50,T-0,"1,363.58"
8,74.83,0.55,86.32,202 kWh,"1,183.46",13-02-2017,16-03-2017,13.45,T-0,"1,358.61"
9,74.52,2.84,85.96,178 kWh,"1,015.21",16-01-2017,13-02-2017,11.76,T-0,"1,190.29"
10,74.24,3.30,85.64,228 kWh,"1,350.46",17-12-2016,16-01-2017,15.10,T-0,"1,528.74"
11,73.93,2.98,85.29,265 kWh,"1,594.46",14-11-2016,17-12-2016,17.54,T-0,"1,774.20"
