,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,29.97,143 kWh,827.37,12-12-2017,12-01-2018,4.75,-16.71,-8.79,-436.99,T-0,479.28
1,79.36,212.95,86.96,159 kWh,942.87,11-11-2017,12-12-2017,11.09,,,,T-0,"1,333.23"
2,79.03,5.82,29.72,143 kWh,820.51,12-10-2017,11-11-2017,4.71,-16.57,-8.72,-433.38,T-0,481.12
3,78.71,11.57,86.25,156 kWh,913.67,11-09-2017,12-10-2017,10.79,,,,T-0,"1,100.99"
4,78.39,7.48,85.90,163 kWh,959.92,12-08-2017,11-09-2017,11.24,,,,T-0,"1,142.93"
5,78.07,203.82,85.55,171 kWh,"1,013.11",12-07-2017,12-08-2017,11.77,,,,T-0,"1,392.32"
6,77.75,7.06,85.20,166 kWh,973.50,12-06-2017,12-07-2017,11.36,,,,T-0,"1,154.87"
7,77.42,,84.85,183 kWh,"1,076.21",12-05-2017,12-06-2017,12.38,,,,T-0,"1,250.86"
8,75.45,,87.02,173 kWh,992.76,11-04-2017,12-05-2017,11.55,,,,T-0,"1,166.78"
9,75.13,,29.75,145 kWh,794.66,13-03-2017,11-04-2017,4.57,-14.44,-9.33,-418.93,T-0,461.41
10,74.83,3.30,29.63,146 kWh,798.82,10-02-2017,13-03-2017,4.58,-14.38,-9.30,-421.12,T-0,466.36
11,74.52,135.17,29.50,130 kWh,680.06,13-01-2017,10-02-2017,4.02,-14.32,-9.26,-358.50,T-0,541.19
