,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,0.25,29.97,111 kWh,580.46,12-12-2017,11-01-2018,2.21,-16.71,-8.79,-290.22,-153.29,T-J,223.56
1,79.36,0.22,29.85,135 kWh,762.42,09-11-2017,12-12-2017,2.64,-16.64,-8.76,-381.21,-201.34,T-J,266.54
2,79.03,,29.72,122 kWh,659.67,10-10-2017,09-11-2017,2.39,-16.57,-8.72,-329.84,-174.22,T-J,241.46
3,78.71,0.10,29.60,123 kWh,664.65,08-09-2017,10-10-2017,2.40,-16.50,-8.68,-332.31,-175.53,T-J,242.44
4,78.39,0.59,29.48,105 kWh,525.24,09-08-2017,08-09-2017,2.07,-16.43,-8.65,-262.63,-138.71,T-J,209.35
5,78.07,0.30,29.36,107 kWh,538.31,10-07-2017,09-08-2017,2.09,-16.37,-8.61,-269.16,-142.16,T-J,211.83
6,77.75,0.26,29.24,110 kWh,558.71,09-06-2017,10-07-2017,2.14,-16.30,-8.58,-279.34,-147.54,T-J,216.34
7,20.65,0.50,29.12,90 kWh,418.52,10-05-2017,09-06-2017,1.36,-4.33,-8.54,-209.26,-110.38,T-J,137.64
8,20.13,1.34,29.87,88 kWh,402.86,08-04-2017,10-05-2017,1.32,-3.87,-9.37,-201.43,-106.20,T-J,134.65
9,75.13,,29.75,139 kWh,750.70,10-03-2017,08-04-2017,2.59,-14.44,-9.33,-375.35,-197.87,T-J,261.18
10,74.83,,29.63,123 kWh,619.66,08-02-2017,10-03-2017,2.18,-14.38,-9.30,-315.97,-166.58,T-J,220.07
11,74.52,0.21,29.50,126 kWh,630.38,11-01-2017,08-02-2017,2.14,-14.32,-9.26,-325.49,-171.60,T-J,216.08
