,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.36,86.96,368 kWh,"2,456.40",11-11-2017,14-12-2017,141.29,21.85,-438.03,T-J,"2,347.83"
1,79.03,86.60,340 kWh,"2,243.87",12-10-2017,11-11-2017,126.53,19.73,-436.27,T-J,"2,119.49"
2,78.71,86.25,361 kWh,"2,385.74",11-09-2017,12-10-2017,136.59,21.16,-434.46,T-J,"2,273.99"
3,78.39,85.90,327 kWh,"2,132.70",12-08-2017,11-09-2017,119.00,18.64,-432.73,T-J,"2,001.90"
4,78.07,85.55,395 kWh,"2,608.55",12-07-2017,12-08-2017,152.43,23.41,-430.95,T-J,"2,517.06"
5,77.75,85.20,372 kWh,"2,434.68",12-06-2017,12-07-2017,140.39,21.69,-429.13,T-J,"2,330.58"
6,77.42,84.85,324 kWh,"2,058.05",12-05-2017,12-06-2017,114.79,18.02,-418.17,T-J,"1,934.96"
7,75.45,87.02,288 kWh,"1,784.27",11-04-2017,12-05-2017,,15.30,-416.45,T-J,"1,545.59"
8,75.13,86.66,313 kWh,"1,948.35",13-03-2017,11-04-2017,107.35,16.95,-414.78,T-J,"1,819.66"
9,74.83,86.32,320 kWh,"1,962.40",10-02-2017,13-03-2017,108.45,17.10,-413.06,T-J,"1,836.04"
10,74.52,85.96,298 kWh,"1,804.60",13-01-2017,10-02-2017,,15.54,-411.52,T-J,"1,569.10"
11,74.24,85.64,323 kWh,"1,967.44",14-12-2016,13-01-2017,109.03,17.18,-409.82,T-J,"1,843.71"
