,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,,85.90,187 kWh,"1,131.21",11-08-2017,09-09-2017,8.63,,,-432.96,,T-J,871.17
1,78.07,,85.55,174 kWh,"1,034.27",11-07-2017,11-08-2017,7.66,,,-431.45,,T-J,774.10
2,77.75,,85.20,166 kWh,973.27,10-06-2017,11-07-2017,7.07,,,-429.72,,T-J,713.57
3,77.42,0.42,84.85,168 kWh,969.97,11-05-2017,10-06-2017,7.11,,,-421.25,,T-J,718.52
4,75.45,,87.02,196 kWh,"1,150.86",10-04-2017,11-05-2017,8.97,,,-416.71,,T-J,905.59
5,75.13,,29.75,150 kWh,830.86,11-03-2017,10-04-2017,2.78,-14.44,-9.33,-415.43,-219.01,T-J,280.31
6,74.83,,29.63,136 kWh,713.03,09-02-2017,11-03-2017,2.39,-14.38,-9.30,-363.09,-191.42,T-J,241.69
7,74.52,,29.50,128 kWh,644.45,12-01-2017,09-02-2017,2.17,-14.32,-9.26,-332.76,-175.43,T-J,218.87
8,74.24,,29.39,127 kWh,635.06,11-12-2016,12-01-2017,2.14,-14.26,-9.22,-327.93,-172.88,T-J,216.54
9,73.93,,29.27,132 kWh,667.02,09-11-2016,11-12-2016,2.21,-14.21,-9.19,-344.41,-181.57,T-J,223.05
10,73.63,,84.93,158 kWh,842.06,10-10-2016,09-11-2016,5.94,,,-406.97,,T-J,599.59
11,73.34,1.79,84.60,195 kWh,"1,086.18",08-09-2016,10-10-2016,8.39,,,-404.97,,T-J,849.33
