,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,2.37,86.25,388 kWh,"2,580.39",13-09-2017,14-10-2017,150.22,23.11,-434.46,T-J,"2,486.59"
1,78.39,2.60,85.90,397 kWh,"2,634.21",15-08-2017,13-09-2017,154.10,23.66,-432.73,T-J,"2,546.13"
2,78.07,3.81,85.55,431 kWh,"2,866.04",14-07-2017,15-08-2017,170.46,25.99,-430.95,T-J,"2,798.97"
3,77.75,,85.20,424 kWh,"2,804.40",14-06-2017,14-07-2017,166.27,25.38,-429.13,T-J,"2,729.87"
4,77.42,,84.85,396 kWh,"2,565.28",15-05-2017,14-06-2017,150.30,23.09,-418.17,T-J,"2,482.77"
5,75.45,,87.02,413 kWh,"2,646.01",15-04-2017,15-05-2017,156.07,23.92,-416.45,T-J,"2,572.02"
6,75.13,,86.66,362 kWh,"2,285.31",15-03-2017,15-04-2017,130.94,20.32,-414.78,T-J,"2,183.58"
7,74.83,,86.32,406 kWh,"2,550.36",12-02-2017,15-03-2017,149.61,22.98,-413.06,T-J,"2,471.04"
8,74.52,0.99,85.96,342 kWh,"2,104.41",15-01-2017,12-02-2017,118.50,18.53,-411.52,T-J,"1,991.39"
9,74.24,2.64,85.64,360 kWh,"2,218.63",15-12-2016,15-01-2017,126.62,19.69,-409.82,T-J,"2,117.64"
10,73.93,4.30,85.29,460 kWh,"2,883.97",12-11-2016,15-12-2016,173.31,26.35,-408.12,T-J,"2,839.03"
11,73.63,5.18,84.93,389 kWh,"2,394.56",13-10-2016,12-11-2016,139.16,21.47,-406.49,T-J,"2,312.44"
