,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,29.97,123 kWh,673.27,14-12-2017,14-01-2018,4.02,-16.71,-8.79,-355.60,T-0,405.84
1,79.36,5.18,29.85,148 kWh,862.49,11-11-2017,14-12-2017,4.91,-16.64,-8.76,-455.54,T-0,500.85
2,79.03,2.63,29.72,128 kWh,705.77,12-10-2017,11-11-2017,4.16,-16.57,-8.72,-372.78,T-0,423.24
3,78.71,2.93,29.60,132 kWh,733.44,11-09-2017,12-10-2017,4.29,-16.50,-8.68,-387.39,T-0,436.40
4,78.39,2.79,29.48,124 kWh,669.67,12-08-2017,11-09-2017,3.99,-16.43,-8.65,-353.70,T-0,405.54
5,78.07,2.85,29.36,129 kWh,704.81,12-07-2017,12-08-2017,4.15,-16.37,-8.61,-372.27,T-0,421.99
6,77.75,2.87,29.24,124 kWh,664.27,12-06-2017,12-07-2017,3.96,-16.30,-8.58,-350.84,T-0,402.37
7,77.42,,29.12,128 kWh,683.18,12-05-2017,12-06-2017,4.05,-16.23,-8.54,-360.44,T-0,408.56
8,75.45,1.37,29.87,130 kWh,688.38,11-04-2017,12-05-2017,4.07,-14.50,-9.37,-362.90,T-0,412.37
9,75.13,,29.75,118 kWh,598.30,13-03-2017,11-04-2017,3.64,-14.44,-9.33,-315.41,T-0,367.64
10,74.83,0.12,29.63,120 kWh,610.44,10-02-2017,13-03-2017,3.69,-14.38,-9.30,-321.80,T-0,373.23
11,19.88,1.10,29.50,96 kWh,441.77,13-01-2017,10-02-2017,2.45,-3.82,-9.26,-232.88,T-0,248.74
