,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,,29.48,133 kWh,737.96,12-08-2017,11-09-2017,4.31,-16.43,-8.65,-389.78,T-0,435.28
1,78.07,,29.36,147 kWh,840.84,12-07-2017,12-08-2017,4.79,-16.37,-8.61,-444.11,T-0,483.97
2,77.75,3.98,85.20,160 kWh,930.94,12-06-2017,12-07-2017,10.94,,,,T-0,"1,108.81"
3,77.42,195.70,29.12,128 kWh,683.18,12-05-2017,12-06-2017,4.05,-16.23,-8.54,-360.44,T-0,604.26
4,75.45,,29.87,135 kWh,724.90,11-04-2017,12-05-2017,4.24,-14.50,-9.37,-382.16,T-0,428.43
5,75.13,,29.75,128 kWh,671.02,13-03-2017,11-04-2017,3.98,-14.44,-9.33,-353.75,T-0,402.36
6,74.83,,29.63,132 kWh,697.38,10-02-2017,13-03-2017,4.11,-14.38,-9.30,-367.63,T-0,414.64
7,19.88,,29.50,96 kWh,441.77,13-01-2017,10-02-2017,2.45,-3.82,-9.26,-232.88,T-0,247.64
8,74.24,,29.39,124 kWh,634.34,11-12-2016,13-01-2017,3.80,-14.26,-9.22,-334.41,T-0,383.88
9,73.93,,29.27,124 kWh,631.57,09-11-2016,11-12-2016,3.78,-14.21,-9.19,-332.95,T-0,382.20
10,73.63,,29.15,123 kWh,621.78,10-10-2016,09-11-2016,3.73,-14.15,-9.15,-327.78,T-0,377.21
11,73.34,,29.03,138 kWh,725.74,08-09-2016,10-10-2016,4.22,-14.09,-9.11,-382.59,T-0,426.54
