,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,,85.90,155 kWh,903.02,15-08-2017,13-09-2017,10.67,,,,T-0,"1,077.98"
1,78.07,,29.36,142 kWh,803.33,14-07-2017,15-08-2017,4.61,-16.37,-8.61,-424.30,T-0,466.09
2,77.75,,29.24,142 kWh,799.99,14-06-2017,22-07-2017,4.60,-16.30,-8.58,-422.52,T-0,464.18
3,77.42,,29.12,147 kWh,825.88,15-05-2017,22-07-2017,4.72,-16.23,-8.54,-435.81,T-0,476.56
6,77.75,,85.20,171 kWh,"1,009.29",14-06-2017,14-07-2017,11.72,,,,T-0,"1,183.96"
7,77.42,,29.12,118 kWh,610.40,15-05-2017,14-06-2017,3.70,-16.23,-8.54,-322.11,T-0,373.76
8,75.45,,29.87,150 kWh,834.84,15-04-2017,20-05-2017,4.76,-14.50,-9.37,-440.11,T-0,480.94
9,75.13,,29.75,114 kWh,569.44,15-03-2017,20-05-2017,3.50,-14.44,-9.33,-300.20,T-0,353.85
12,75.45,,87.02,156 kWh,876.18,15-04-2017,15-05-2017,10.39,,,,T-0,"1,049.04"
13,75.13,,29.75,108 kWh,525.80,15-03-2017,15-04-2017,3.30,-14.44,-9.33,-277.20,T-0,333.01
14,74.83,,29.63,114 kWh,567.12,12-02-2017,15-03-2017,3.49,-14.38,-9.30,-298.97,T-0,352.42
15,19.88,,29.50,94 kWh,431.00,15-01-2017,12-02-2017,2.40,-3.82,-9.26,-227.20,T-0,242.50
16,19.80,,29.39,95 kWh,434.86,16-12-2016,15-01-2017,2.42,-3.81,-9.22,-229.25,T-0,244.19
17,73.93,0.58,29.27,111 kWh,538.96,15-11-2016,16-12-2016,3.35,-14.21,-9.19,-284.13,T-0,338.56
18,73.63,1.50,29.15,104 kWh,486.71,13-10-2016,15-11-2016,3.10,-14.15,-9.15,-256.58,T-0,314.21
19,73.34,,29.03,118 kWh,584.06,12-09-2016,13-10-2016,3.55,-14.09,-9.11,-307.91,T-0,358.87
