,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.68,1.20,87.32,227 kWh,"1,441.27",14-12-2017,12-01-2018,,16.08,T-0,"1,625.55"
1,79.36,5.46,86.96,337 kWh,"2,231.93",11-11-2017,14-12-2017,156.24,23.98,T-0,"2,583.93"
2,79.03,5.58,86.60,274 kWh,"1,768.01",12-10-2017,11-11-2017,,19.34,T-0,"1,958.56"
3,78.71,2.37,86.25,281 kWh,"1,811.26",11-09-2017,12-10-2017,,19.76,T-0,"1,998.35"
4,78.39,,85.90,337 kWh,"2,204.20",12-08-2017,11-09-2017,154.29,23.68,T-0,"2,546.46"
5,78.07,3.63,85.55,291 kWh,"1,867.77",12-07-2017,12-08-2017,,20.31,T-0,"2,055.33"
6,77.75,3.10,85.20,278 kWh,"1,767.89",12-06-2017,12-07-2017,,19.31,T-0,"1,953.25"
7,77.42,5.51,84.85,302 kWh,"1,904.77",12-05-2017,12-06-2017,133.33,20.67,T-0,"2,226.55"
8,75.45,1.77,87.02,325 kWh,"2,038.96",11-04-2017,12-05-2017,142.73,22.01,T-0,"2,367.94"
9,75.13,2.72,86.66,280 kWh,"1,722.14",13-03-2017,11-04-2017,,18.84,T-0,"1,905.49"
10,74.83,4.20,86.32,287 kWh,"1,763.23",10-02-2017,13-03-2017,,19.24,T-0,"1,947.82"
11,74.52,,85.96,224 kWh,"1,327.47",13-01-2017,10-02-2017,,14.88,T-0,"1,502.83"
